State,Quantity,Name of Nodal Farmer,Cluster,Village/Block,Location/ District,Latitude,Longitude,Unit Type
Bundelkhand (UP),3,,,,Hamirpur (Rath),,,1000 kg MS FDU
,,,,,Banda,,,500 kg MS FDU
,,,,,Banda,,,500 kg MS FDU
Orissa,2,,,,Angul (Chendipada),,,500 kg MS FDU
,,,,,Puranakote (Tikarapada),,,500 kg MS FDU
Rajasthan ,1,,,,Kota (Anta),,,500 kg MS FDU
U.P. West,2,,,,Hathras,,,500 kg MS FDU
,,,,,Shahajanpur / Lucknow,,,500 kg MS FDU
Chhattisgarh ,1,,,,Kondagaon ,,,500 kg MS FDU
Gujarat,3,,,,"Gunthala Mundra, Kutch",,,1000 kg SS FDU
,,,,,Rapar ,,,500 kg SS FDU
,,,,,"Sarol, Anand",,,500 kg MS FDU
U.P.,1,,,,Pipraulla Sudha,,,500 kg MS FDU
Bihar,1,,,,Madheupura ,,,500 kg MS FDU
Tamil Nadu,2,,,,Ooty,,,500 kg SS Cohobation
,,,,,Cuddalore,,,500 kg MS FDU
Karnataka,1,,,,Sirsi ,,,500 kg SS FDU
North East,2,,,,"Raboi, Meghalya",,,500 kg MS FDU
,,,,,"Tejpur, Assam",,,500 kg MS FDU
Maharashtra / Vidharbha,3,,,,"Belora, Amravati",,,500 kg MS FDU
,,,,,"Telhara, Akola",,,500 kg MS FDU
,,,,,Bhandara,,,500 kg MS FDU
Uttarakhand,2,,,,Pantnagar Center,,,500 kg SS Cohobation
,,,,,,,,
Karnataka:,2,,,,Jainapur,,,500 kg MS FDU
,,,,,Koppal,,,500 kg MS FDU
Tamil Nadu ,5,,,,Coimbatore,,,500 kg MS FDU
,,,,,Naggapatinum,,,500 kg MS FDU
,,,,,Sivagangai,,,250 kg MS FDU
,,,,,Annamalai Tiger Reserve,,,250 kg SS FDU
,,,,,Annamalai Tiger Reserve,,,250 kg SS FDU
Telangana/ Andhra Pradesh,3,,,,CRC Hyderabad ,,,500 kg SS Mobile
,,,,,Kurnool (Shifted to CRC),,,500 kg MS FDU
,,,,,"Ivampally, East Godavari",,,500 kg MS FDU
