BioMarkers,Topotecan.estimate,Topotecan.se,Topotecan.n,Topotecan.tstat,Topotecan.fstat,Topotecan.pvalue,Topotecan.df,Topotecan.fdr
ENSG00000166152,-0.111161679,0.041598293,487,-2.672265372,7.141002216,0.00779931,464,0.066287518
ENSG00000249700,-0.085061916,0.041978409,487,-2.026325397,4.105994616,0.043302991,464,0.185515425
ENSG00000159182,0.028778376,0.045197698,487,0.636722159,0.405415107,0.524619827,464,0.747181699
ENSG00000145734,0.122371093,0.04432871,487,2.760538089,7.62057054,0.005999213,464,0.056242328
ENSG00000087157,0.00630918,0.04311072,487,0.146348292,0.021417822,0.883710005,464,0.950038073
ENSG00000119682,-0.018060839,0.042850075,487,-0.42148908,0.177653045,0.673593171,464,0.839005011
ENSG00000234452,0.037090272,0.042701121,487,0.868601844,0.754469163,0.385513988,464,0.642330845
ENSG00000086506,0.040114049,0.045154218,487,0.888378763,0.789216827,0.374797336,464,0.632581073
ENSG00000085741,-0.094555706,0.042891905,487,-2.204511659,4.859871657,0.02797845,464,0.143346419
ENSG00000246740,-0.075275852,0.042316455,487,-1.778878983,3.164410437,0.075914203,464,0.259847179
ENSG00000137745,-0.035831791,0.045570781,487,-0.786288726,0.618249961,0.432099725,464,0.681013484
ENSG00000157005,-0.162236734,0.042289631,487,-3.836324174,14.71738317,0.000142165,464,0.004957736
ENSG00000105472,0.120138382,0.048060552,487,2.499729554,6.248647845,0.012773087,464,0.088962887
ENSG00000188257,-0.009930309,0.045466734,487,-0.218408238,0.047702158,0.827207073,464,0.921554734
ENSG00000137766,-0.026796058,0.047779373,487,-0.560828997,0.314529163,0.575184831,464,0.781271269
ENSG00000116176,-0.075044091,0.041892214,487,-1.791361302,3.208975313,0.073886924,464,0.255132225
ENSG00000169251,0.031511915,0.042990858,487,0.732991065,0.537275901,0.463934014,464,0.705484106
ENSG00000126803,-0.115704668,0.047722866,487,-2.424512145,5.878259144,0.015709952,464,0.100921504
ENSG00000234917,0.039787658,0.048420784,487,0.821706195,0.67520107,0.411666146,464,0.664774428
ENSG00000171223,-0.057290251,0.043701003,487,-1.310959629,1.718615149,0.190519832,464,0.441700719
ENSG00000014914,0.010167247,0.046833482,487,0.217093543,0.047129606,0.828230869,464,0.922000672
ENSG00000254363,-0.044348005,0.042728224,487,-1.037908913,1.077254912,0.299853029,464,0.563304527
ENSG00000237298,0.067664384,0.044158294,487,1.532314251,2.347986963,0.126126406,464,0.346821635
ENSG00000143502,-0.0345844,0.044394723,487,-0.779020506,0.606872948,0.436364753,464,0.684670726
ENSG00000173020,0.088581809,0.05927359,487,1.494456627,2.233400611,0.135736044,464,0.362186396
ENSG00000011007,0.089349664,0.04458748,487,2.003918221,4.015688235,0.045659621,464,0.192360248
ENSG00000121413,-0.062406853,0.046474231,487,-1.342827014,1.803184388,0.179984499,464,0.426896652
ENSG00000081189,-0.105057967,0.056933913,487,-1.845261665,3.404990614,0.065636472,464,0.23887763
