"sampleid","link","CCLE.name","Cell.line.primary.name","Cell.line.aliases","Gender","Site.Primary","Histology","Hist.Subtype1","Notes","Source","Expression.arrays","SNP.arrays","Oncomap","Hybrid.Capture.Sequencing","CCLE_rnaseq.sampleid","tissueid","Cellosaurus.Disease.Type","Cellosaurus.Accession.id","PharmacoDB.id","unique.tissueid.fromstudies","CellLine.Type","Metastatic"
"1321N1","http://www.broadinstitute.org/ccle/cell%20lines/1321N1_CENTRAL_NERVOUS_SYSTEM","1321N1_CENTRAL_NERVOUS_SYSTEM","1321N1",NA,"M","central_nervous_system","glioma","astrocytoma","Identical lines: U-118 MG, U-138 MG and 1321N1 share high SNP identity","ECACC","NIECE_p_NCLE_RNA3_HG-U133_Plus_2_B06_296024","HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E09_293392","yes",NA,NA,"CNS/Brain","Astrocytoma","CVCL_0110","1321N1_2_2019","central_nervous_system","Cancer cell line",NA
"143B","http://www.broadinstitute.org/ccle/cell%20lines/143B_BONE","143B_BONE","143B",NA,"F","bone","osteosarcoma","NS","Identical lines: HTK-, HOS and 143B share high SNP identity and are very likely to be osteosarcoma","ATCC","MAKER_p_NCLE_RNA7_HG-U133_Plus_2_F09_454702","BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_D02_464552","yes",NA,NA,"Bone","Osteosarcoma","CVCL_2270","143B_3_2019","bone","Cancer cell line",NA
"22Rv1","http://www.broadinstitute.org/ccle/cell%20lines/22RV1_PROSTATE","22RV1_PROSTATE","22Rv1",NA,"M","prostate","carcinoma","NS",NA,"ATCC","NIECE_p_NCLE_RNA3_HG-U133_Plus_2_F06_296120","LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C09_246674","yes","yes","22Rv1","Prostate","Prostate carcinoma","CVCL_1045","22RV1_12_2019","prostate","Cancer cell line",NA
"23132/87","http://www.broadinstitute.org/ccle/cell%20lines/2313287_STOMACH","2313287_STOMACH","23132/87",NA,"M","stomach","carcinoma","adenocarcinoma",NA,"DSMZ","WATCH_p_NCLE_RNA8_HG-U133_Plus_2_E11_474718","CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D06_490336","yes","yes","23132_87","Esophagus/Stomach","Gastric adenocarcinoma","CVCL_1046","2313287_13_2019","stomach","Cancer cell line",NA
"253J","http://www.broadinstitute.org/ccle/cell%20lines/253J_URINARY_TRACT","253J_URINARY_TRACT","253J",NA,NA,"urinary_tract","carcinoma","transitional_cell_carcinoma","Identical lines: 253J and 253J-BV share high SNP identity","KCLB","CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_A03_569510",NA,"yes","yes","253J","Bladder/Urinary Tract","Bladder carcinoma","CVCL_7935","253J_14_2019","urinary_tract","Cancer cell line",TRUE
"253J-BV","http://www.broadinstitute.org/ccle/cell%20lines/253JBV_URINARY_TRACT","253JBV_URINARY_TRACT","253J-BV",NA,"U","urinary_tract","carcinoma","transitional_cell_carcinoma","Identical lines: 253J and 253J-BV share high SNP identity","KCLB","CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_A05_569490",NA,"yes","yes","253J-BV","Bladder/Urinary Tract","Bladder carcinoma","CVCL_7937","253JBV_15_2019","urinary_tract","Cancer cell line",TRUE
"42-MG-BA","http://www.broadinstitute.org/ccle/cell%20lines/42MGBA_CENTRAL_NERVOUS_SYSTEM","42MGBA_CENTRAL_NERVOUS_SYSTEM","42-MG-BA",NA,"M","central_nervous_system","glioma","astrocytoma_Grade_IV",NA,"DSMZ","NIECE_p_NCLE_RNA3_HG-U133_Plus_2_B02_296016","HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E05_293384","yes","yes","42-MG-BA","CNS/Brain","Glioblastoma","CVCL_1798","42MGBA_16_2019","central_nervous_system","Cancer cell line",NA
"5637","http://www.broadinstitute.org/ccle/cell%20lines/5637_URINARY_TRACT","5637_URINARY_TRACT","5637",NA,"M","urinary_tract","carcinoma","NS",NA,"ATCC","AGENT_p_NCLE_RNA6_HG-U133_Plus_2_F08_436450","MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_C05_578366","yes","yes","5637","Bladder/Urinary Tract","Bladder carcinoma","CVCL_0126","5637_20_2019","urinary_tract","Cancer cell line",NA
"59M","http://www.broadinstitute.org/ccle/cell%20lines/59M_OVARY","59M_OVARY","59M",NA,"F","ovary","carcinoma","NS",NA,"ECACC","GAZER_p_NCLE_Expr_P13_HG-U133_Plus_2_A10_779748","MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F10_578312","yes","yes","59M","Ovary/Fallopian Tube","High grade ovarian serous adenocarcinoma","CVCL_2291","59M_21_2019","ovary","Cancer cell line",TRUE
"639V","http://www.broadinstitute.org/ccle/cell%20lines/639V_URINARY_TRACT","639V_URINARY_TRACT","639-V",NA,"M","urinary_tract","carcinoma","transitional_cell_carcinoma",NA,"DSMZ","WATCH_p_NCLE_RNA8_HG-U133_Plus_2_G06_474746","VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_F05_698718","yes","yes","639-V","Bladder/Urinary Tract","Bladder carcinoma","CVCL_1048","639V_24_2019","urinary_tract","Cancer cell line",NA
"647V","http://www.broadinstitute.org/ccle/cell%20lines/647V_URINARY_TRACT","647V_URINARY_TRACT","647-V",NA,"M","urinary_tract","carcinoma","transitional_cell_carcinoma",NA,"DSMZ","WATCH_p_NCLE_RNA8_HG-U133_Plus_2_H02_474606","AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_F05_542896","yes","yes","647-V","Bladder/Urinary Tract","Bladder carcinoma","CVCL_1049","647V_25_2019","urinary_tract","Cancer cell line",NA
"697","http://www.broadinstitute.org/ccle/cell%20lines/697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","697",NA,"M","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","acute_lymphoblastic_B_cell_leukaemia",NA,"DSMZ","WATCH_p_NCLE_RNA8_HG-U133_Plus_2_E04_474704","MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F12_578410","yes","yes","697","Lymphoid","B acute lymphoblastic leukemia with t(1 p13.3) E2A-PBX1 (TCF3-PBX1)","CVCL_0079","697_26_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"769-P","http://www.broadinstitute.org/ccle/cell%20lines/769P_KIDNEY","769P_KIDNEY","769-P",NA,"F","kidney","carcinoma","clear_cell_renal_cell_carcinoma",NA,"ATCC","METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_A05_240858","MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D06_578342","yes","yes","769-P","Kidney","Renal cell carcinoma","CVCL_1050","769P_27_2019","kidney","Cancer cell line",NA
"786-O","http://www.broadinstitute.org/ccle/cell%20lines/786O_KIDNEY","786O_KIDNEY","786-O","786-0","M","kidney","carcinoma","clear_cell_renal_cell_carcinoma",NA,"ATCC","METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_A07_240862","ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E12_256120","yes","yes","786-O","Kidney","Renal cell carcinoma","CVCL_1051","7860_28_2019","kidney","Cancer cell line",NA
"8-MG-BA","http://www.broadinstitute.org/ccle/cell%20lines/8MGBA_CENTRAL_NERVOUS_SYSTEM","8MGBA_CENTRAL_NERVOUS_SYSTEM","8-MG-BA",NA,"F","central_nervous_system","glioma","astrocytoma_Grade_IV",NA,"DSMZ","NIECE_p_NCLE_RNA3_HG-U133_Plus_2_E02_296088","HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E11_293396","yes","yes","8-MG-BA","CNS/Brain","Glioblastoma","CVCL_1052","8MGBA_29_2019","central_nervous_system","Cancer cell line",NA
"8305C","http://www.broadinstitute.org/ccle/cell%20lines/8305C_THYROID","8305C_THYROID","8305C",NA,"F","thyroid","carcinoma","anaplastic_carcinoma",NA,"DSMZ","SILOS_p_NCLE_RNA9_HG-U133_Plus_2_B12_523504","VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_B05_698562","yes","yes","8305C","Thyroid","Thyroid gland undifferentiated (anaplastic) carcinoma","CVCL_1053","8305C_30_2019","thyroid","Cancer cell line",NA
"8505C","http://www.broadinstitute.org/ccle/cell%20lines/8505C_THYROID","8505C_THYROID","8505C",NA,"F","thyroid","carcinoma","anaplastic_carcinoma",NA,"HSRRB","WATCH_p_NCLE_RNA8_HG-U133_Plus_2_D05_474716","BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_E06_464702","yes","yes","8505C","Thyroid","Thyroid gland undifferentiated (anaplastic) carcinoma","CVCL_1054","8505C_31_2019","thyroid","Cancer cell line",NA
"A-1207","http://www.broadinstitute.org/ccle/cell%20lines/A1207_CENTRAL_NERVOUS_SYSTEM","A1207_CENTRAL_NERVOUS_SYSTEM","A1207",NA,NA,"central_nervous_system","glioma","NS",NA,"Academic Lab / Achilles","RILLS_p_AchillesExp_Mar2011_1_HG-U133_Plus_2_C05_767940",NA,NA,NA,NA,"CNS/Brain","Glioblastoma","CVCL_8481","A1207_35_2019","central_nervous_system","Cancer cell line",NA
"A-172","http://www.broadinstitute.org/ccle/cell%20lines/A172_CENTRAL_NERVOUS_SYSTEM","A172_CENTRAL_NERVOUS_SYSTEM","A172",NA,"M","central_nervous_system","glioma","astrocytoma_Grade_IV",NA,"ATCC","METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_H02_241020","LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A01_437348","yes","yes","A172","CNS/Brain","Glioblastoma","CVCL_0131","A172_36_2019","central_nervous_system","Cancer cell line",NA
"A-204","http://www.broadinstitute.org/ccle/cell%20lines/A204_SOFT_TISSUE","A204_SOFT_TISSUE","A-204",NA,"F","soft_tissue","rhabdoid_tumour","NS",NA,"ATCC","BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_G04_241192","HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_A03_293284","yes","yes","A-204","Soft Tissue","Embryonal rhabdomyosarcoma","CVCL_1058","A204_37_2019","soft_tissue","Cancer cell line",NA
"A-253","http://www.broadinstitute.org/ccle/cell%20lines/A253_SALIVARY_GLAND","A253_SALIVARY_GLAND","A-253",NA,"M","salivary_gland","carcinoma","mucoepidermoid_carcinoma",NA,"ATCC","CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_H09_569448","LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G01_246754","yes","yes","A-253","Head and Neck","Salivary gland squamous cell carcinoma","CVCL_1060","A253_39_2019","skin","Cancer cell line",NA
"A-375","http://www.broadinstitute.org/ccle/cell%20lines/A375_SKIN","A375_SKIN","A-375",NA,"F","skin","malignant_melanoma","NS",NA,"ATCC","PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_B01_257622","HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G08_293438","yes","yes","A-375","Skin","Amelanotic melanoma","CVCL_0132","A375_42_2019","skin","Cancer cell line",NA
"A-427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A-427","Lung","Lung adenocarcinoma","CVCL_1055","A427_45_2019","lung","Cancer cell line",NA
"A-498","http://www.broadinstitute.org/ccle/cell%20lines/A498_KIDNEY","A498_KIDNEY","A-498",NA,"F","kidney","carcinoma","renal_cell_carcinoma",NA,"ATCC","CASED_p_NCLE_RNA4_HG-U133_Plus_2_A11_383760","FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E01_335284","yes","yes","A-498","Kidney","Renal cell carcinoma","CVCL_1056","A498_47_2019","kidney","Cancer cell line",NA
"A-549","http://www.broadinstitute.org/ccle/cell%20lines/A549_LUNG","A549_LUNG","A549",NA,"M","lung","carcinoma","non_small_cell_carcinoma",NA,"ATCC","METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_H01_241018","ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B06_256036","yes","yes","A549","Lung","Lung adenocarcinoma","CVCL_0023","A549_48_2019","lung","Cancer cell line",NA
"A-673","http://www.broadinstitute.org/ccle/cell%20lines/A673_BONE","A673_BONE","A-673",NA,"F","bone","Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour","NS",NA,"ATCC","CASED_p_NCLE_RNA4_HG-U133_Plus_2_B01_383784","FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D12_335282","yes","yes","A-673","Bone","Ewing sarcoma","CVCL_0080","A673_49_2019","bone","Cancer cell line",NA
"A-704","http://www.broadinstitute.org/ccle/cell%20lines/A704_KIDNEY","A704_KIDNEY","A-704",NA,"M","kidney","carcinoma","renal_cell_carcinoma",NA,"ATCC","CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_D04_569578","SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_A05_592962","yes","yes","A-704","Kidney","Renal cell carcinoma","CVCL_1065","A704_50_2019","kidney","Cancer cell line",NA
"A101D","http://www.broadinstitute.org/ccle/cell%20lines/A101D_SKIN","A101D_SKIN","A101D",NA,"M","skin","malignant_melanoma","NS","Isolated from the same donor tissue as Hs 294T","ATCC","MAKER_p_NCLE_RNA7_HG-U133_Plus_2_F07_454690","BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F07_464698","yes","yes","A101D","Skin","Melanoma","CVCL_1057","A101D_34_2019","skin","Cancer cell line",NA
