BioMarkers	Paclitaxel.estimate	Paclitaxel.se	Paclitaxel.n	Paclitaxel.tstat	Paclitaxel.fstat	Paclitaxel.pvalue	Paclitaxel.df	Paclitaxel.fdr
ENSG00000176485	-0.141435795	0.049264943	488	-2.870921739	8.242191633	0.004279536	465	0.047987161
ENSG00000196123	0.115720333	0.047889502	488	2.416402946	5.839003197	0.016058862	465	0.109636092
ENSG00000104833	0.092569061	0.047007176	488	1.969253813	3.877960579	0.049517223	465	0.217342816
ENSG00000173540	-0.026481541	0.046698712	488	-0.567072187	0.321570866	0.570938774	465	0.80142155
ENSG00000178591	-0.025089242	0.043842982	488	-0.572252187	0.327472565	0.567427688	465	0.799702423
ENSG00000188368	0.134445532	0.046277461	488	2.90520548	8.440218883	0.003845093	465	0.044946961
ENSG00000079393	-0.003909955	0.044937315	488	-0.087009097	0.007570583	0.930701736	465	0.975675177
ENSG00000174837	0.075041355	0.044984136	488	1.668173751	2.782803664	0.095954428	465	0.322151391
ENSG00000260205	-0.091160343	0.044901962	488	-2.030208437	4.121746299	0.042904038	465	0.199514737
ENSG00000186184	0.209641792	0.052305735	488	4.00800775	16.06412612	7.13E-05	465	0.00302348
ENSG00000184385	-0.101061649	0.043931889	488	-2.300416639	5.291916712	0.021866439	465	0.132480754
ENSG00000170791	-0.009826858	0.052100598	488	-0.188613151	0.035574921	0.850478313	465	0.941399749
ENSG00000164124	0.002643248	0.050630448	488	0.052206687	0.002725538	0.958386425	465	0.985389324
ENSG00000229236	-0.035779796	0.046017184	488	-0.777531182	0.604554739	0.437240839	465	0.703011928
ENSG00000149823	0.113919225	0.050497122	488	2.255954795	5.089332038	0.024537305	465	0.14204539
ENSG00000183665	0.030171847	0.045949411	488	0.656631872	0.431165415	0.51174247	465	0.760906752
ENSG00000256394	-0.014000821	0.044326452	488	-0.315857026	0.099765661	0.752252751	465	0.898853429
ENSG00000169302	-0.129921575	0.045149276	488	-2.877600418	8.280584165	0.004191554	465	0.047396956
ENSG00000237941	-0.015821959	0.044373494	488	-0.356563285	0.127137377	0.721580502	465	0.883839573
ENSG00000124688	0.029889893	0.048546536	488	0.615695694	0.379081188	0.538396614	465	0.779583036
ENSG00000100221	0.077559746	0.043972178	488	1.763836814	3.111120308	0.078416073	465	0.287057303
ENSG00000257761	0.035684101	0.043828401	488	0.81417758	0.662885131	0.415959968	465	0.68691288
ENSG00000140153	-0.004012373	0.04646964	488	-0.086343964	0.00745528	0.931230157	465	0.976024741
ENSG00000259518	-0.020271229	0.043556275	488	-0.465403188	0.216600127	0.641860638	465	0.841029801
ENSG00000103502	-0.136695283	0.045475532	488	-3.005908351	9.035485017	0.00279112	465	0.036505153
ENSG00000243902	0.008966455	0.045974578	488	0.195030711	0.038036978	0.84545409	465	0.939528981
ENSG00000211797	-0.025318615	0.044309049	488	-0.57140957	0.326508896	0.56799812	465	0.799943336
ENSG00000154556	-0.117660065	0.045592932	488	-2.580664562	6.659829582	0.010166481	465	0.082854541
ENSG00000089327	0.065245298	0.046723144	488	1.396423557	1.949998749	0.163253183	465	0.43055378
ENSG00000197308	0.015217164	0.056759134	488	0.268100699	0.071877985	0.788740696	465	0.914301203
ENSG00000165233	0.035096819	0.048629188	488	0.721723333	0.520884569	0.470827341	465	0.729922355
ENSG00000102007	0.086108689	0.046046335	488	1.870044344	3.49706585	0.062105747	465	0.250373563
