BioMarkers,Irinotecan.estimate,Irinotecan.se,Irinotecan.n,Irinotecan.tstat,Irinotecan.fstat,Irinotecan.pvalue,Irinotecan.df,Irinotecan.fdr
ENSG00000108018,-0.104996294,0.06367481,309,-1.648945531,2.719021364,0.100256743,286,0.340532305
ENSG00000205885,-0.014080564,0.056900599,309,-0.247458984,0.061235949,0.804730585,286,0.924447155
ENSG00000177291,0.009997372,0.052367796,309,0.190906869,0.036445433,0.848734006,286,0.942327163
ENSG00000109193,-0.004550347,0.053106227,309,-0.085683867,0.007341725,0.931777679,286,0.974740095
ENSG00000234828,-0.081210937,0.052307467,309,-1.552568731,2.410469663,0.121632052,286,0.377899178
ENSG00000157873,-0.163364387,0.069156517,309,-2.362241378,5.580184327,0.018834609,286,0.138503198
ENSG00000204576,0.139232213,0.062320998,309,2.234113973,4.991265242,0.026248398,286,0.16476424
ENSG00000049089,-0.048541754,0.054990304,309,-0.882732961,0.77921748,0.378121915,286,0.66934724
ENSG00000235914,-0.028830519,0.051544106,309,-0.559336878,0.312857743,0.576369575,286,0.807288647
ENSG00000118971,-0.010691188,0.058288011,309,-0.183420015,0.033642902,0.854598439,286,0.944710121
ENSG00000196459,-0.055392064,0.058144988,309,-0.952654154,0.907549936,0.341569755,286,0.637690873
ENSG00000178741,0.105894906,0.055540671,309,1.906619128,3.6351965,0.057571959,286,0.252037802
ENSG00000182508,-0.084876914,0.051790207,309,-1.638860303,2.685863093,0.102341905,286,0.344014488
ENSG00000273079,-0.067509453,0.05298288,309,-1.274174838,1.623521518,0.203635842,286,0.495629858
ENSG00000134138,0.067921122,0.054728688,309,1.241051517,1.540208869,0.215603701,286,0.510014629
ENSG00000279235,0.062135787,0.051741948,309,1.200878381,1.442108886,0.230791999,286,0.529107033
ENSG00000126947,-0.043208546,0.071082865,309,-0.607861626,0.369495756,0.543761625,286,0.78735142
ENSG00000103194,0.108222643,0.052508799,309,2.061038226,4.247878571,0.04020328,286,0.207728796
ENSG00000077514,0.17281376,0.05445047,309,3.173779052,10.07287347,0.001668756,286,0.031918563
ENSG00000113441,-0.01128667,0.067697034,309,-0.166723258,0.027796645,0.867705616,286,0.949450123
ENSG00000168938,-0.37464648,0.082860322,309,-4.52142197,20.44325663,9.01E-06,286,0.001218537
ENSG00000105926,0.152697716,0.053705248,309,2.843255032,8.084099175,0.004787364,286,0.061292954
ENSG00000264364,-0.067192308,0.054409535,309,-1.234936257,1.525067559,0.217867812,286,0.513422702
ENSG00000171723,0.061990908,0.053753826,309,1.153237119,1.329955853,0.249775963,286,0.548937649
ENSG00000104833,0.014158255,0.056222167,309,0.25182692,0.063416798,0.801355711,286,0.922681086
ENSG00000165410,-0.070727725,0.077203045,309,-0.916126116,0.83928706,0.360372567,286,0.653928435
ENSG00000275714,0.06799577,0.053716941,309,1.265816112,1.602290429,0.20660908,286,0.499136195
ENSG00000186130,0.068193503,0.053092294,309,1.284433166,1.649768557,0.200029849,286,0.491158515
ENSG00000198691,-0.074969026,0.052345536,309,-1.432195212,2.051183125,0.153179971,286,0.42779299
ENSG00000213047,-0.084891434,0.064230066,309,-1.321677525,1.746831479,0.187331783,286,0.474947029
ENSG00000138030,0.15259596,0.054089806,309,2.821159306,7.958939828,0.005120082,286,0.06334392
ENSG00000225605,-0.023588114,0.051524592,309,-0.45780302,0.209583605,0.647441575,286,0.848748137
ENSG00000180871,0.007805056,0.066318813,309,0.117689919,0.013850917,0.906395964,286,0.964856991
ENSG00000143436,0.064922666,0.05503506,309,1.179660132,1.391598027,0.239115739,286,0.537124226
ENSG00000010244,0.125386718,0.058066402,309,2.15936779,4.662869251,0.031652902,286,0.183018968
ENSG00000135750,-0.181452768,0.062862188,309,-2.886516907,8.331979853,0.004192253,286,0.05611342
ENSG00000056291,-0.107762885,0.052240893,309,-2.062807084,4.255173067,0.040033598,286,0.207300947
ENSG00000169692,0.105151458,0.062848935,309,1.673082565,2.799205268,0.095404449,286,0.333283092
ENSG00000228392,-0.098898919,0.053636842,309,-1.843861713,3.399826017,0.066237614,286,0.271847095
ENSG00000144908,0.00705421,0.054187021,309,0.130182656,0.016947524,0.896513431,286,0.960162181
ENSG00000130720,-0.091556212,0.056895119,309,-1.609210305,2.589557807,0.108673579,286,0.35557752
ENSG00000111843,-0.086057688,0.055682871,309,-1.545496611,2.388559775,0.123331959,286,0.38158207
ENSG00000169435,-0.013744549,0.056691108,309,-0.242446293,0.058780205,0.808608137,286,0.926079234
ENSG00000150773,-0.049145999,0.053267285,309,-0.922630057,0.851246222,0.356977707,286,0.650965801
ENSG00000198586,0.059432395,0.062505005,309,0.950842182,0.904100855,0.342487324,286,0.638484888
ENSG00000089177,-0.038796895,0.056345646,309,-0.688551787,0.474103563,0.491663511,286,0.753026628
ENSG00000156011,-0.061841529,0.059699155,309,-1.035886165,1.073060148,0.301130312,286,0.599208324
ENSG00000232533,-0.102019492,0.060384069,309,-1.689510062,2.85444425,0.09221147,286,0.326739202
ENSG00000265142,-0.063741124,0.052577683,309,-1.212322784,1.469726534,0.226389364,286,0.523164528
ENSG00000104826,-0.07320313,0.052324826,309,-1.399013336,1.957238315,0.162892528,286,0.44156145
ENSG00000117298,-0.160852601,0.06061825,309,-2.653534239,7.041243959,0.008410843,286,0.084202108
ENSG00000247746,-0.05985469,0.055928981,309,-1.070190959,1.145308689,0.2854357,286,0.585943262
ENSG00000184574,0.037488217,0.060446732,309,0.620186,0.384630675,0.535629174,286,0.78195847
ENSG00000274290,-0.076554108,0.053766025,309,-1.423837955,2.027314522,0.15558345,286,0.430650382
ENSG00000198752,-0.144894024,0.081717382,309,-1.773111427,3.143924134,0.077274497,286,0.295994532
ENSG00000112761,-0.035934611,0.053162123,309,-0.675943869,0.456900114,0.499622492,286,0.759065648
ENSG00000119729,-0.12241689,0.060991195,309,-2.007123985,4.028546693,0.045677226,286,0.223262138
ENSG00000012779,-0.048830165,0.056404576,309,-0.865712819,0.749458685,0.387373286,286,0.677328211
ENSG00000106366,-0.023245914,0.068452483,309,-0.339591985,0.115322716,0.734413057,286,0.89375757
ENSG00000245573,-0.004529272,0.054904986,309,-0.082492911,0.00680508,0.934312459,286,0.975153662
ENSG00000163138,0.154599376,0.052185893,309,2.962474494,8.776255129,0.00330811,286,0.048922897
ENSG00000163359,-0.048886291,0.061428372,309,-0.795825934,0.633338917,0.426793243,286,0.707166562
ENSG00000189334,-0.050133191,0.064554722,309,-0.776599917,0.603107431,0.438036649,286,0.714734506
