Row,Col,Treatment,Concentration_uM,Cell_Death,Well,incubation_time,drug,normalized_atp
B,1,DMSO,0,Healthy,B01,28h,healthy,1.010063112
B,2,Untreated,0,Healthy,B02,28h,healthy,1.003117594
B,3,Stauro,"0,04748",Apoptosis,B03,28h,apoptosis,0.546178971
B,4,Stauro,"0,02374",Apoptosis,B04,28h,apoptosis,0.53130027
B,5,Stauro,"0,01187",Apoptosis,B05,28h,apoptosis,0.737403739
B,6,Stauro,"0,005935",Apoptosis,B06,28h,apoptosis,0.718478795
B,7,Stauro,"0,0029675",Apoptosis,B07,28h,apoptosis,0.881507308
B,8,DMSO,0,Apoptosis,B08,28h,healthy,1.087005433
B,9,Untreated,0,Apoptosis,B09,28h,healthy,1.10471969
B,10,DMSO,0,Apoptosis,B10,28h,healthy,0.985403337
B,11,Untreated,0,Apoptosis,B11,28h,healthy,1.107969428
B,12,DMSO,0,Apoptosis,B12,28h,healthy,1.01525632
B,13,Stauro,"0,04748",Apoptosis,B13,28h,apoptosis,0.558986761
B,14,Stauro,"0,02374",Apoptosis,B14,28h,apoptosis,0.561949758
B,15,Stauro,"0,01187",Apoptosis,B15,28h,apoptosis,0.752824063
B,16,Stauro,"0,005935",Apoptosis,B16,28h,apoptosis,0.664826261
B,17,Stauro,"0,0029675",Apoptosis,B17,28h,apoptosis,0.859268906
B,18,Stauro,"0,04748",Apoptosis,B18,28h,apoptosis,0.533466762
B,19,Stauro,"0,02374",Apoptosis,B19,28h,apoptosis,0.650552903
B,20,Stauro,"0,01187",Apoptosis,B20,28h,apoptosis,0.701369881
B,21,Stauro,"0,005935",Apoptosis,B21,28h,apoptosis,0.735970031
B,22,Stauro,"0,0029675",Apoptosis,B22,28h,apoptosis,0.797173426
B,23,DMSO,0,Healthy,B23,28h,healthy,1.054348755
B,24,Untreated,0,Healthy,B24,28h,healthy,1.012548206
C,1,DMSO,0,Healthy,C01,28h,healthy,1.007386857
C,2,Untreated,0,Healthy,C02,28h,healthy,1.092899566
C,3,Vinblastine,"0,00222",Apoptosis,C03,28h,apoptosis,0.461749509
C,4,Vinblastine,"0,00111",Apoptosis,C04,28h,apoptosis,0.664220918
C,5,Vinblastine,"0,000555",Apoptosis,C05,28h,apoptosis,0.936083787
C,6,Vinblastine,"0,0002775",Apoptosis,C06,28h,apoptosis,0.971894623
C,7,Vinblastine,"0,00013875",Apoptosis,C07,28h,apoptosis,1.000090877
C,8,DMSO,0,Apoptosis,C08,28h,healthy,1.000919242
C,9,Untreated,0,Apoptosis,C09,28h,healthy,1.09188004
C,10,DMSO,0,Apoptosis,C10,28h,healthy,0.985817519
C,11,Untreated,0,Apoptosis,C11,28h,healthy,1.141550052
C,12,DMSO,0,Apoptosis,C12,28h,healthy,1.118610726
C,13,Vinblastine,"0,00222",Apoptosis,C13,28h,apoptosis,0.612225113
C,14,Vinblastine,"0,00111",Apoptosis,C14,28h,apoptosis,0.753397546
C,15,Vinblastine,"0,000555",Apoptosis,C15,28h,apoptosis,0.955837095
C,16,Vinblastine,"0,0002775",Apoptosis,C16,28h,apoptosis,1.021309754
C,17,Vinblastine,"0,00013875",Apoptosis,C17,28h,apoptosis,1.002193649
C,18,Vinblastine,"0,00222",Apoptosis,C18,28h,apoptosis,0.556437948
C,19,Vinblastine,"0,00111",Apoptosis,C19,28h,apoptosis,0.788507459
C,20,Vinblastine,"0,000555",Apoptosis,C20,28h,apoptosis,0.969887432
C,21,Vinblastine,"0,0002775",Apoptosis,C21,28h,apoptosis,0.985753799
C,22,Vinblastine,"0,00013875",Apoptosis,C22,28h,apoptosis,1.062250078
C,23,DMSO,0,Healthy,C23,28h,healthy,1.069036295
C,24,Untreated,0,Healthy,C24,28h,healthy,1.058299416
D,1,DMSO,0,Healthy,D01,28h,healthy,1.042687931
D,2,Untreated,0,Healthy,D02,28h,healthy,1.090541913
D,3,Paclitaxel,"110,24",Apoptosis,D03,28h,apoptosis,0.455919097
D,4,Paclitaxel,"55,12",Apoptosis,D04,28h,apoptosis,0.103290686
D,5,Paclitaxel,"27,56",Apoptosis,D05,28h,apoptosis,0.213399449
D,6,Paclitaxel,"13,78",Apoptosis,D06,28h,apoptosis,0.334850434
D,7,Paclitaxel,"6,89",Apoptosis,D07,28h,apoptosis,0.384265565
D,8,DMSO,0,Apoptosis,D08,28h,healthy,1.080474098
D,9,Untreated,0,Apoptosis,D09,28h,healthy,1.131418517
D,10,DMSO,0,Apoptosis,D10,28h,healthy,1.111155446
D,11,Untreated,0,Apoptosis,D11,28h,healthy,1.049123686
D,12,DMSO,0,Apoptosis,D12,28h,healthy,1.008183362
D,13,Paclitaxel,"110,24",Apoptosis,D13,28h,apoptosis,0.275080747
D,14,Paclitaxel,"55,12",Apoptosis,D14,28h,apoptosis,0.148086091
D,15,Paclitaxel,"27,56",Apoptosis,D15,28h,apoptosis,0.196640997
D,16,Paclitaxel,"13,78",Apoptosis,D16,28h,apoptosis,0.359064167
D,17,Paclitaxel,"6,89",Apoptosis,D17,28h,apoptosis,0.451777274
D,18,Paclitaxel,"110,24",Apoptosis,D18,28h,apoptosis,0.360720896
D,19,Paclitaxel,"55,12",Apoptosis,D19,28h,apoptosis,0.144836353
D,20,Paclitaxel,"27,56",Apoptosis,D20,28h,apoptosis,0.190460123
D,21,Paclitaxel,"13,78",Apoptosis,D21,28h,apoptosis,0.39812474
D,22,Paclitaxel,"6,89",Apoptosis,D22,28h,apoptosis,0.384488586
D,23,DMSO,0,Healthy,D23,28h,healthy,1.046893474
