,chembl_id,IC50,unit,smiles,pIC50
0,CHEMBL3680444,0.042,nM,COc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cn1,10.37675071
1,CHEMBL3680508,0.045,nM,NC(=O)c1cccc2c(NCc3ccc(NC(=O)c4cc(C(F)(F)F)n[nH]4)cc3)ncnc12,10.34678749
2,CHEMBL3680447,0.046,nM,CCN(CC)c1ccc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)cc1,10.33724217
3,CHEMBL3680552,0.06,nM,N#Cc1ccnc(Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,10.22184875
4,CHEMBL3685243,0.061,nM,Cc1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,10.21467016
5,CHEMBL3685277,0.089,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4cc(C5CC5)n[nH]4)c3)ncnc12,10.05060999
6,CHEMBL3675525,0.17,nM,NC(=O)c1cccc2c(NCc3cccc(NC(O)c4cc(C(F)(F)F)ccc4F)c3)ncnc12,9.769551079
7,CHEMBL3685262,0.18,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(Cl)cc4)c3)ncnc12,9.744727495
8,CHEMBL3680596,0.18,nM,N#CCc1ccnc(Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,9.744727495
9,CHEMBL3639841,0.2,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc5c(c4)OC(F)(F)O5)c3)ncnc12,9.698970004
10,CHEMBL3685245,0.21,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(C(F)(F)F)cc4F)c3)ncnc12,9.677780705
11,CHEMBL3685306,0.22,nM,COc1cc(F)c(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c(F)c1,9.657577319
12,CHEMBL3670499,0.24,nM,NC(=O)c1cc(O)cc2c(NCc3ccc(C(F)(F)F)cc3)ncnc12,9.619788758
13,CHEMBL3675441,0.25,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(F)cc4F)c3)ncnc12,9.602059991
14,CHEMBL3680500,0.26,nM,CNc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cn1,9.585026652
15,CHEMBL3680420,0.27,nM,CC(C)c1cc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)[nH]n1,9.568636236
16,CHEMBL4455202,0.29,nM,CC1(C)CC(NC(=O)c2ccc(Nc3ncc(Cl)c(Nc4ccccc4Cl)n3)cc2)CC(C)(C)N1[O],9.537602002
17,CHEMBL3680554,0.3,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4[nH]nc5c4CCCC5)c3)ncnc12,9.522878745
18,CHEMBL3680403,0.3,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(Cl)c(Cl)c4)c3)ncnc12,9.522878745
19,CHEMBL3685257,0.31,nM,COc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1OC,9.508638306
20,CHEMBL4799738,0.316,nM,Cn1cc(-c2ccc3c(Nc4cccc(NC(=O)Nc5cccc(F)c5)c4)ncnc3c2)cn1,9.500312917
21,CHEMBL3675501,0.32,nM,Cc1ccc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)cn1,9.494850022
