Drug,Target,Combine_score
Prednisolone,ADRB2,0.095238095
Prednisolone,NTRK2,0.215
Prednisolone,PDP1,0.214
Prednisolone,BET3L,0.242
Prednisolone,ABHD3,0.186
Prednisolone,PDP2,0.214
Prednisolone,AVP,0.333333333
Prednisolone,SETX,0.193
Prednisolone,PTGER3,0.142857143
Prednisolone,JAK3,0.095238095
Prednisolone,ADHFE1,0.263
Prednisolone,NLRP3,0.095238095
Prednisolone,IL23A,0.095238095
Prednisolone,AHR,0.5
Prednisolone,RPS29,0.295
Prednisolone,IL5,0.31
Prednisolone,TOP2B,0.278
Prednisolone,TAT,0.197
Prednisolone,RPL13,0.184
Prednisolone,ENSG00000224712,0.237
Prednisolone,MEF2C,0.333333333
Prednisolone,CDK3,0.171
Prednisolone,NFKB1,0.18
Prednisolone,NOS1,0.596
Prednisolone,NR2F6,0.306
Prednisolone,GOT1,0.267
Prednisolone,FRZB,0.095238095
Prednisolone,E2F8,0.095238095
Prednisolone,CPS1,0.095238095
Prednisolone,HNRNPL,0.175
Prednisolone,EXOC2,0.174
Prednisolone,LEF1,0.095238095
Prednisolone,PPIAL4D,0.047619048
Prednisolone,HOXD3,0.19
Prednisolone,FLNC,0.347
Prednisolone,APH1A,0.181
Prednisolone,HEMK1,0.177
Prednisolone,RUNX2,0.215
Prednisolone,PTEN,0.181
Prednisolone,TDP1,0.5
Prednisolone,HPR,0.175
Prednisolone,GNRH1,0.095238095
Prednisolone,PTH,0.202
Prednisolone,BMP3,0.196
Prednisolone,FAS,0.259904762
Prednisolone,BTRC,0.41
Prednisolone,HP,0.177
Prednisolone,OTUD7B,0.095238095
Prednisolone,NAAA,0.174
Prednisolone,RBM14,0.095238095
Prednisolone,CD19,0.219
Prednisolone,ASPG,0.319
Prednisolone,LDHC,0.199
Prednisolone,RAB12,0.171
Prednisolone,ALDH1A1,0.229
Prednisolone,HOXA9,0.209
Prednisolone,MESP1,0.095238095
Prednisolone,CD52,0.185
Prednisolone,NDUFAB1,0.201
Prednisolone,PGR,0.452285714
Prednisolone,ENSG00000264813,0.277
Prednisolone,CCL19,0.333333333
Prednisolone,PDE3A,0.047619048
Prednisolone,CCL5,0.095238095
Prednisolone,ATP1A1,0.333333333
Prednisolone,THRA,0.306
Prednisolone,TF,0.095238095
Prednisolone,PPIAL4F,0.047619048
Prednisolone,ENSG00000236954,0.177
Prednisolone,PDE7B,0.238095238
Prednisolone,MTRR,0.457
Prednisolone,HAS1,0.095238095
Prednisolone,CCNI,0.232
Prednisolone,CTSL,0.095238095
Prednisolone,AGT,0.095238095
Prednisolone,PPARD,0.686047619
Prednisolone,NR2E1,0.306
Prednisolone,NCOA1,0.095238095
Prednisolone,BLVRB,0.142857143
Prednisolone,IFNB1,0.297
Prednisolone,VPS33B,0.248
Prednisolone,VPS33A,0.248
Prednisolone,WNT1,0.095238095
Prednisolone,YWHAH,0.095238095
Prednisolone,ANO6,0.178
Prednisolone,UTRN,0.665
Prednisolone,NET1,0.095238095
Prednisolone,ENSG00000214940,0.237
