Name,ICD-11,MeSH,KEGG,link,MyID,ICD-11_Category
Head and neck cancer, 2B6E.Z 2B68.Z 2B6A.Z 2B69.0 2C23, D000077195,H02420,https://www.genome.jp/entry/ds_ja:H02420,0,2
Oral cancer, 2B60 2B61 2B62 2B63 2B64 2B65 2B66, D009062,H00016,https://www.genome.jp/entry/ds_ja:H00016,1,2
Salivary gland cancer, 2B68, D012468,H01508,https://www.genome.jp/entry/ds_ja:H01508,2,2
Tonsillar cancer, 2B69, D014067,H01509,https://www.genome.jp/entry/ds_ja:H01509,3,2
Oropharyngeal cancer, 2B6A, D009959,H01559,https://www.genome.jp/entry/ds_ja:H01559,4,2
Nasopharyngeal cancer, 2B6B, D009303,H00054,https://www.genome.jp/entry/ds_ja:H00054,5,2
Laryngeal cancer, 2C23, D007822,H00055,https://www.genome.jp/entry/ds_ja:H00055,6,2
Esophageal cancer, 2B70, D004938,H00017,https://www.genome.jp/entry/ds_ja:H00017,7,2
Gastric cancer, 2B72.0, D013274,H00018,https://www.genome.jp/entry/ds_ja:H00018,8,2
Carcinoid, 2B80, D002276,H00034,https://www.genome.jp/entry/ds_ja:H00034,9,2
Colorectal cancer, 2B90 2B91 2B92, D015179,H00020,https://www.genome.jp/entry/ds_ja:H00020,10,2
Hereditary nonpolyposis colorectal cancer, 2B90.Y, D003123,H02565,https://www.genome.jp/entry/ds_ja:H02565,11,2
Cancer of the anal canal, 2C00, D001005,H00044,https://www.genome.jp/entry/ds_ja:H00044,12,2
Hepatocellular carcinoma;Liver cancer, 2C12.0, D006528,H00048,https://www.genome.jp/entry/ds_ja:H00048,13,2
Hepatoblastoma, 2C12.01, D018197,H02302,https://www.genome.jp/entry/ds_ja:H02302,14,2
Hepatic angiosarcoma, 2B56.3, D006394,H01557,https://www.genome.jp/entry/ds_ja:H01557,15,2
Cholangiocarcinoma, 2C12.1, D018281,H00046,https://www.genome.jp/entry/ds_ja:H00046,16,2
Gallbladder cancer, 2C13, D005706,H00047,https://www.genome.jp/entry/ds_ja:H00047,17,2
Pancreatic cancer, 2C10.0, D010190,H00019,https://www.genome.jp/entry/ds_ja:H00019,18,2
Pancreatic neuroendocrine tumor, 2C10.1, D018273,H00045,https://www.genome.jp/entry/ds_ja:H00045,19,2
Gastrotintestinal stromal tumor, 2B5B, D046152,H01591,https://www.genome.jp/entry/ds_ja:H01591,20,2
Non-small cell lung cancer, 2C25.0 2C25.2 2C25.3, D002289,H00014,https://www.genome.jp/entry/ds_ja:H00014,21,2
Small cell lung cancer, 2C25.1, D055752,H00013,https://www.genome.jp/entry/ds_ja:H00013,22,2
Malignant pleural mesothelioma, 2C26, D008654,H00015,https://www.genome.jp/entry/ds_ja:H00015,23,2
Melanoma, 2C30, D008545,H00038,https://www.genome.jp/entry/ds_ja:H00038,24,2
Basal cell carcinoma, 2C32, D002280,H00039,https://www.genome.jp/entry/ds_ja:H00039,25,2
Squamous cell carcinoma, 2C31, D002294,H00040,https://www.genome.jp/entry/ds_ja:H00040,26,2
Merkel cell carcinoma, 2C34, D015266,H01555,https://www.genome.jp/entry/ds_ja:H01555,27,2
Muir-Torre syndrome, 2C31.1, D055653,H02566,https://www.genome.jp/entry/ds_ja:H02566,28,2
Mycosis fungoides, 2B01, D009182,H01463,https://www.genome.jp/entry/ds_ja:H01463,29,2
Osteosarcoma, 2B51, D012516,H00036,https://www.genome.jp/entry/ds_ja:H00036,30,2
Ewing sarcoma, 2B52, D012512,H00035,https://www.genome.jp/entry/ds_ja:H00035,31,2
Extraskeletal myxoid chondrosarcoma, 2B50, D002813,H00053,https://www.genome.jp/entry/ds_ja:H00053,32,2
Kaposi sarcoma, 2B57, D012514,H00041,https://www.genome.jp/entry/ds_ja:H00041,33,2
Myxoid liposarcoma, 2B59, D018208,H00049,https://www.genome.jp/entry/ds_ja:H00049,34,2
Rhabdomyosarcoma, 2B55, D018232,H00037,https://www.genome.jp/entry/ds_ja:H00037,35,2
Synovial sarcoma, 2B5A, D013584,H00050,https://www.genome.jp/entry/ds_ja:H00050,36,2
Alveolar soft part sarcoma, 2B5K, D018234,H00051,https://www.genome.jp/entry/ds_ja:H00051,37,2
Clear cell sarcoma of soft tissue, 2B5K, D018227,H00052,https://www.genome.jp/entry/ds_ja:H00052,38,2
Desmoplastic small round cell tumor, 2B5K, D058405,H01985,https://www.genome.jp/entry/ds_ja:H01985,39,2
Angiosarcoma, 2B56, D006394,H01666,https://www.genome.jp/entry/ds_ja:H01666,15,2
Primary peritoneal carcinoma, 2C51, D010534,H01665,https://www.genome.jp/entry/ds_ja:H01665,40,2
Breast cancer, 2C61, D001943,H00031,https://www.genome.jp/entry/ds_ja:H00031,41,2
Vulvar cancer, 2C70, D014846,H00029,https://www.genome.jp/entry/ds_ja:H00029,42,2
Cervical cancer, 2C77, D002583,H00030,https://www.genome.jp/entry/ds_ja:H00030,43,2
Endometrial cancer, 2C76, D016889,H00026,https://www.genome.jp/entry/ds_ja:H00026,44,2
Ovarian cancer, 2C73, D010051,H00027,https://www.genome.jp/entry/ds_ja:H00027,45,2
Fallopian tube cancer, 2C74, D005185,H01554,https://www.genome.jp/entry/ds_ja:H01554,46,2
Choriocarcinoma, 2C75, D002822,H00028,https://www.genome.jp/entry/ds_ja:H00028,47,2
Familial breast-ovarian cancer, 2C65, D061325,H02531,https://www.genome.jp/entry/ds_ja:H02531,48,2
Penile cancer, 2C81, D010412,H00025,https://www.genome.jp/entry/ds_ja:H00025,49,2
Testicular cancer, 2C80, D013736,H00023,https://www.genome.jp/entry/ds_ja:H00023,50,2
Hereditary prostate cancer, 2C82, C537243,H02530,https://www.genome.jp/entry/ds_ja:H02530,51,2
Renal cell carcinoma, 2C90.0, D002292,H00021,https://www.genome.jp/entry/ds_ja:H00021,52,2
Nephroblastoma;Wilms tumor, 2C90.Y, D009396,H02301,https://www.genome.jp/entry/ds_ja:H02301,53,2
Bladder cancer, 2C94.2, D001749,H00022,https://www.genome.jp/entry/ds_ja:H00022,54,2
Retinoblastoma, 2D02.2, D012175,H01513,https://www.genome.jp/entry/ds_ja:H01513,55,2
Glioma, 2A00.0, D005910,H00042,https://www.genome.jp/entry/ds_ja:H00042,56,2
