drugbank_accession_number,generic_name,type,Sequence,groups,ECFP,MeSH,MyID,ecfp_cluster
DB00006,Bivalirudin,Small Molecule,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O,approved investigational,"[1, 41, 79, 80, 108, 117, 140, 143, 173, 193, 197, 242, 269, 283, 294, 310, 354, 376, 389, 446, 488, 531, 573, 623, 624, 650, 667, 680, 689, 708, 736, 739, 745, 759, 786, 807, 831, 837, 849, 857, 875, 894, 926, 927, 935, 953, 955, 983, 1017, 1019, 1028, 1057, 1066, 1088, 1104, 1107, 1110, 1118, 1141, 1152, 1171, 1199, 1287, 1290, 1313, 1325, 1380, 1393, 1422, 1433, 1440, 1451, 1480, 1482, 1530, 1534, 1544, 1564, 1575, 1602, 1616, 1618, 1624, 1688, 1715, 1719, 1737, 1750, 1754, 1755, 1778, 1785, 1823, 1844, 1847, 1849, 1873, 1876, 1897, 1898, 1911, 1917, 1959, 2001, 2006, 2016, 2020]",C074619,0,C
DB02351,Bivalirudin,Small Molecule,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O,approved investigational,"[1, 41, 79, 80, 108, 117, 140, 143, 173, 193, 197, 242, 269, 283, 294, 310, 354, 376, 389, 446, 488, 531, 573, 623, 624, 650, 667, 680, 689, 708, 736, 739, 745, 759, 786, 807, 831, 837, 849, 857, 875, 894, 926, 927, 935, 953, 955, 983, 1017, 1019, 1028, 1057, 1066, 1088, 1104, 1107, 1110, 1118, 1141, 1152, 1171, 1199, 1287, 1290, 1313, 1325, 1380, 1393, 1422, 1433, 1440, 1451, 1480, 1482, 1530, 1534, 1544, 1564, 1575, 1602, 1616, 1618, 1624, 1688, 1715, 1719, 1737, 1750, 1754, 1755, 1778, 1785, 1823, 1844, 1847, 1849, 1873, 1876, 1897, 1898, 1911, 1917, 1959, 2001, 2006, 2016, 2020]",C074619,0,C
DB00007,Leuprolide,Small Molecule,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1,approved investigational,"[1, 79, 80, 81, 108, 117, 119, 132, 140, 151, 193, 197, 222, 242, 283, 294, 301, 305, 310, 314, 328, 354, 362, 364, 378, 446, 457, 482, 488, 531, 573, 575, 623, 624, 625, 648, 650, 667, 680, 689, 708, 713, 724, 726, 736, 739, 745, 759, 806, 807, 837, 857, 894, 926, 927, 931, 935, 983, 1019, 1028, 1057, 1088, 1104, 1110, 1114, 1145, 1152, 1171, 1199, 1255, 1313, 1325, 1349, 1357, 1380, 1393, 1433, 1451, 1452, 1480, 1482, 1573, 1575, 1602, 1607, 1616, 1624, 1633, 1685, 1688, 1726, 1738, 1750, 1754, 1758, 1778, 1783, 1847, 1865, 1873, 1876, 1879, 1911, 1917, 1937, 1970, 2006, 2009, 2016]",D016729,1,C
DB00014,Goserelin,Small Molecule,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,approved,"[1, 79, 80, 81, 94, 108, 114, 117, 118, 119, 132, 140, 144, 151, 188, 193, 213, 222, 242, 283, 301, 310, 314, 328, 351, 354, 362, 364, 378, 392, 446, 448, 457, 482, 488, 504, 508, 531, 573, 624, 648, 650, 680, 689, 695, 713, 725, 726, 736, 739, 745, 759, 766, 798, 806, 807, 837, 857, 882, 892, 926, 927, 935, 963, 973, 978, 1019, 1028, 1057, 1088, 1110, 1114, 1152, 1171, 1199, 1255, 1313, 1325, 1340, 1349, 1357, 1380, 1393, 1433, 1480, 1482, 1526, 1535, 1573, 1575, 1602, 1603, 1607, 1616, 1679, 1685, 1738, 1744, 1750, 1754, 1778, 1783, 1847, 1859, 1865, 1873, 1879, 1891, 1911, 1917, 1926, 1937, 1942, 1970, 2004, 2006, 2009, 2016]",D017273,2,C
DB00027,Gramicidin D,Small Molecule,CC(C)C[C@@H](NC(=O)CNC(=O)[C@@H](NC=O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)NCCO,approved,"[1, 33, 41, 79, 80, 117, 119, 173, 197, 222, 260, 283, 328, 364, 473, 488, 507, 573, 610, 648, 650, 667, 680, 694, 723, 726, 736, 759, 806, 807, 849, 875, 989, 1004, 1015, 1057, 1088, 1110, 1114, 1118, 1152, 1194, 1199, 1349, 1357, 1380, 1440, 1460, 1482, 1496, 1530, 1573, 1575, 1607, 1616, 1623, 1691, 1715, 1750, 1773, 1783, 1829, 1847, 1873, 1879, 1917, 1935, 1937, 1956, 1970, 2016]",D006096,3,A
DB00035,Desmopressin,Small Molecule,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O,approved,"[1, 53, 80, 115, 117, 140, 143, 173, 193, 197, 242, 253, 301, 310, 314, 354, 355, 362, 389, 392, 402, 435, 446, 458, 531, 545, 573, 623, 624, 650, 667, 675, 684, 689, 708, 736, 739, 745, 789, 807, 828, 832, 837, 846, 894, 926, 935, 957, 983, 1004, 1019, 1028, 1034, 1066, 1088, 1104, 1114, 1152, 1171, 1199, 1313, 1325, 1380, 1393, 1440, 1451, 1456, 1480, 1490, 1502, 1527, 1535, 1564, 1575, 1583, 1602, 1618, 1621, 1640, 1650, 1689, 1738, 1750, 1754, 1778, 1791, 1822, 1828, 1865, 1873, 1876, 1898, 1911, 1917, 1923, 1938]",D003894,4,C
DB00050,Cetrorelix,Small Molecule,CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,approved investigational,"[1, 79, 80, 81, 108, 117, 140, 143, 151, 193, 197, 203, 216, 222, 242, 245, 280, 283, 310, 322, 354, 378, 437, 446, 482, 488, 531, 561, 573, 598, 623, 624, 645, 650, 667, 680, 689, 708, 726, 736, 739, 745, 759, 798, 807, 816, 857, 875, 894, 926, 927, 935, 983, 989, 1017, 1019, 1028, 1043, 1048, 1057, 1066, 1070, 1087, 1088, 1104, 1110, 1152, 1171, 1199, 1212, 1259, 1313, 1325, 1380, 1387, 1393, 1433, 1442, 1451, 1480, 1482, 1520, 1526, 1535, 1559, 1586, 1602, 1603, 1616, 1618, 1683, 1750, 1754, 1778, 1847, 1855, 1864, 1866, 1873, 1876, 1911, 1917, 1990, 2006, 2016]",C062876,5,C
DB00067,Vasopressin,Small Molecule,NCCCCC(NC(=O)C1CCCN1C(=O)C1CSSCC(N)C(=O)NC(CC2=CC=C(O)C=C2)C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O.NC1CSSCC(NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC2=CC=C(O)C=C2)NC1=O)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O,approved,"[1, 25, 80, 115, 117, 140, 143, 144, 173, 193, 197, 242, 253, 301, 310, 314, 351, 354, 355, 362, 389, 392, 402, 435, 446, 458, 472, 486, 531, 545, 573, 587, 624, 650, 675, 689, 725, 736, 739, 745, 798, 807, 828, 832, 837, 846, 926, 935, 957, 978, 981, 1004, 1019, 1028, 1034, 1066, 1082, 1088, 1114, 1152, 1171, 1199, 1283, 1313, 1325, 1380, 1393, 1440, 1456, 1480, 1502, 1517, 1527, 1535, 1564, 1575, 1583, 1602, 1618, 1621, 1640, 1650, 1689, 1744, 1750, 1754, 1778, 1791, 1822, 1828, 1832, 1840, 1873, 1898, 1911, 1917, 1923, 1926, 2004]",D014667,6,C
DB09392,Vasopressin,Small Molecule,NCCCCC(NC(=O)C1CCCN1C(=O)C1CSSCC(N)C(=O)NC(CC2=CC=C(O)C=C2)C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O.NC1CSSCC(NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC2=CC=C(O)C=C2)NC1=O)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O,approved,"[1, 25, 80, 115, 117, 140, 143, 144, 173, 193, 197, 242, 253, 301, 310, 314, 351, 354, 355, 362, 389, 392, 402, 435, 446, 458, 472, 486, 531, 545, 573, 587, 624, 650, 675, 689, 725, 736, 739, 745, 798, 807, 828, 832, 837, 846, 926, 935, 957, 978, 981, 1004, 1019, 1028, 1034, 1066, 1082, 1088, 1114, 1152, 1171, 1199, 1283, 1313, 1325, 1380, 1393, 1440, 1456, 1480, 1502, 1517, 1527, 1535, 1564, 1575, 1583, 1602, 1618, 1621, 1640, 1650, 1689, 1744, 1750, 1754, 1778, 1791, 1822, 1828, 1832, 1840, 1873, 1898, 1911, 1917, 1923, 1926, 2004]",D014667,6,C
DB00080,Daptomycin,Small Molecule,CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC(=O)C2=CC=CC=C2N)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCN)NC(=O)CNC1=O)[C@H](C)CC(O)=O,approved investigational,"[1, 41, 47, 79, 80, 101, 115, 117, 119, 130, 140, 222, 233, 250, 283, 294, 301, 306, 314, 328, 355, 364, 376, 387, 389, 435, 440, 494, 503, 519, 539, 573, 591, 648, 650, 656, 684, 715, 722, 736, 750, 794, 806, 807, 832, 858, 875, 895, 910, 926, 941, 949, 953, 981, 998, 1004, 1006, 1019, 1034, 1057, 1088, 1110, 1114, 1141, 1143, 1152, 1171, 1193, 1199, 1227, 1267, 1285, 1287, 1290, 1309, 1349, 1352, 1357, 1380, 1444, 1447, 1457, 1506, 1516, 1517, 1527, 1543, 1564, 1573, 1575, 1607, 1609, 1616, 1689, 1693, 1718, 1721, 1737, 1746, 1750, 1752, 1782, 1783, 1840, 1866, 1873, 1879, 1888, 1898, 1911, 1917, 1919, 1937, 1970, 1978, 1991, 2008, 2016, 2020, 2025, 2033]",D017576,7,C
