HMDB_ID,DrugBank_ID,Common Name,Secondary_Accession_Numbers,SMILES,MyID
HMDB0000001,DB04151,1-Methylhistidine,HMDB00001 HMDB0004935 HMDB0006703 HMDB0006704 HMDB04935 HMDB06703 HMDB06704,CN1C=NC(C[C@H](N)C(O)=O)=C1,0
HMDB0000002,,"1,3-Diaminopropane",HMDB00002 HMDB0060172 HMDB60172,NCCCN,1
HMDB0000005,DB04553,2-Ketobutyric acid,HMDB00005 HMDB0006544 HMDB06544,CCC(=O)C(O)=O,2
HMDB0000008,,2-Hydroxybutyric acid,HMDB00008,CC[C@H](O)C(O)=O,3
HMDB0000011,,3-Hydroxybutyric acid,HMDB0000357 HMDB00011 HMDB00357,C[C@@H](O)CC(O)=O,4
HMDB0000012,DB02256,Deoxyuridine,HMDB00012,OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O,5
HMDB0000015,,Cortexolone,HMDB00015,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,6
HMDB0000016,,Deoxycorticosterone,HMDB00016,[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,7
HMDB0000017,,4-Pyridoxic acid,HMDB00017,CC1=NC=C(CO)C(C(O)=O)=C1O,8
HMDB0000019,DB04074,alpha-Ketoisovaleric acid,HMDB00019 HMDB0004260 HMDB04260,CC(C)C(=O)C(O)=O,9
HMDB0000020,,p-Hydroxyphenylacetic acid,HMDB00020,OC(=O)CC1=CC=C(O)C=C1,10
HMDB0000022,,3-Methoxytyramine,HMDB00022 HMDB0006022 HMDB06022,COC1=C(O)C=CC(CCN)=C1,11
HMDB0000023,,(S)-3-Hydroxyisobutyric acid,HMDB0000435 HMDB00023 HMDB00435 HMDB0062640 HMDB0126088 HMDB62640,C[C@@H](CO)C(O)=O,12
