Symbol,Category,MyID
hsa-miR-4662b,miRNA,0
hsa-mir-146a,miRNA,1
hsa-miR-6875-3p,miRNA,2
hsa-miR-122b-5p,miRNA,3
hsa-miR-612,miRNA,4
hsa-miR-605-3p,miRNA,5
hsa-miR-6077,miRNA,6
hsa-mir-138-1,miRNA,7
AC005048,miRNA,8
hsa-miR-4278,miRNA,9
MIR491,miRNA,10
hsa-miR-4256,miRNA,11
MIR663A,miRNA,12
hsa-miR-181c-5p,miRNA,13
hsa-miR-5588-3p,miRNA,14
AP001178,miRNA,15
MIR605,miRNA,16
hsa-miR-122-3p,miRNA,17
hsa-miR-1245a,miRNA,18
hsa-mir-100,miRNA,19
hsa-miR-7-5p,miRNA,20
hsa-miR-3064-3p,miRNA,21
hsa-miR-4473,miRNA,22
hsa-novel-miR-14,miRNA,23
hsa-miR-5009-5p,miRNA,24
hsa-miR-32-5p,miRNA,25
AL513327,miRNA,26
hsa-miR-6812-3p,miRNA,27
hsa-miR-8054,miRNA,28
hsa-miR-4459,miRNA,29
MIR3942,miRNA,30
hsa-miR-193a-3p,miRNA,31
hsa-mir-6126,miRNA,32
hsa-miR-3156-3p,miRNA,33
AC009480,miRNA,34
hsa-mir-1224,miRNA,35
hsa-miR-4733-3p,miRNA,36
AC105399,miRNA,37
hsa-miR-7154-5p,miRNA,38
hsa-mir-671,miRNA,39
hsa-miR-9985,miRNA,40
hsa-miR-7977,miRNA,41
hsa-miR-6860,miRNA,42
MIR513A2,miRNA,43
hsa-miR-12126,miRNA,44
AL021918,miRNA,45
hsa-miR-4509,miRNA,46
hsa-mir-98,miRNA,47
has-miR-129-5p,miRNA,48
hsa-miR-518c-5p,miRNA,49
MIR6087,miRNA,50
hsa-mir-125b-1,miRNA,51
hsa-miR-1262,miRNA,52
hsa-mir-1233-1,miRNA,53
hsa-miR-4724-5p,miRNA,54
hsa-miR-29c-5p,miRNA,55
hsa-miR-133b,miRNA,56
hsa-miR-3611,miRNA,57
hsa-miR-187-3p,miRNA,58
hsa-miR-4660,miRNA,59
hsa-miR-3909,miRNA,60
hsa-miR-514b-3p,miRNA,61
hsa-miR-617,miRNA,62
hsa-mir-548a-3,miRNA,63
