Symbol,Category,MyID
TXNRD1,mRNA,0
OIT3,mRNA,1
CCDC78,mRNA,2
DKK4,mRNA,3
CNNM3,mRNA,4
TRIM49,mRNA,5
BNIP3,mRNA,6
DNAI4,mRNA,7
OR10R2,mRNA,8
STK35,mRNA,9
FCER1G,mRNA,10
RNASE12,mRNA,11
KDM4D,mRNA,12
CD163L1,mRNA,13
AC138647.1,mRNA,14
TP53BP2,mRNA,15
PIDD1,mRNA,16
AURKA,mRNA,17
TIMM8B,mRNA,18
ASPHD1,mRNA,19
PLEKHO2,mRNA,20
C11orf80,mRNA,21
DEK,mRNA,22
OCEL1,mRNA,23
CRACR2A,mRNA,24
IP6K1,mRNA,25
AL589987.1,mRNA,26
MEX3D,mRNA,27
WDR38,mRNA,28
F8,mRNA,29
MPC1L,mRNA,30
RANGAP1,mRNA,31
DPEP1,mRNA,32
TMEM220,mRNA,33
SPATA5,mRNA,34
RNASEH2B,mRNA,35
TBX10,mRNA,36
ABI3,mRNA,37
SAA2-SAA4,mRNA,38
CPNE3,mRNA,39
SNAI1,mRNA,40
SEPTIN9,mRNA,41
EIF4EBP1,mRNA,42
LOC100130283,mRNA,43
SH2D1B,mRNA,44
COPS5,mRNA,45
CDKN1B,mRNA,46
KLHL25,mRNA,47
PRR36,mRNA,48
HSD17B7,mRNA,49
CENPE,mRNA,50
STXBP6,mRNA,51
VIPR1,mRNA,52
PIK3C2B,mRNA,53
TP53I13,mRNA,54
COLEC12,mRNA,55
GPA33,mRNA,56
OR6B1,mRNA,57
SLC25A39,mRNA,58
ARHGEF33,mRNA,59
NPIPB5,mRNA,60
KLHL22,mRNA,61
ENST00000297035,mRNA,62
AGBL5,mRNA,63
PANK4,mRNA,64
MRE11,mRNA,65
YME1L1,mRNA,66
GUSB,mRNA,67
CATSPER2,mRNA,68
ENST00000390312,mRNA,69
ATP6V1D,mRNA,70
STARD9,mRNA,71
DISP1,mRNA,72
CCND1,mRNA,73
OR2A7,mRNA,74
CROCC,mRNA,75
KMO,mRNA,76
PLEKHA1,mRNA,77
L1CAM,mRNA,78
FBL,mRNA,79
TALDO1,mRNA,80
MAN2A2,mRNA,81
CTU2,mRNA,82
GABRA1,mRNA,83
PAF1,mRNA,84
ENST00000374106,mRNA,85
C7orf57,mRNA,86
RPAP1,mRNA,87
RPL27A,mRNA,88
F3,mRNA,89
CAPRIN2,mRNA,90
EGR3,mRNA,91
CRHR2,mRNA,92
ESCO1,mRNA,93
DQX1,mRNA,94
TRIM58,mRNA,95
LOC391322,mRNA,96
PRR20A,mRNA,97
SYCE1L,mRNA,98
HIST1H2AB,mRNA,99
AC007731.4,mRNA,100
DGKD,mRNA,101
JMJD7-PLA2G4B,mRNA,102
MAFB,mRNA,103
IFITM2,mRNA,104
DNPH1,mRNA,105
TRIM11,mRNA,106
TMPRSS15,mRNA,107
SLC22A12,mRNA,108
CYSTM1,mRNA,109
KCNS2,mRNA,110
SLC5A10,mRNA,111
EML3,mRNA,112
RAMP2,mRNA,113
LOC100996709,mRNA,114
DENND1A,mRNA,115
NDUFS5,mRNA,116
C4orf46,mRNA,117
CLEC20A,mRNA,118
BEX2,mRNA,119
ALS2CL,mRNA,120
ENST00000331306,mRNA,121
ATP6V0A1,mRNA,122
USP16,mRNA,123
PRKACB,mRNA,124
SLC19A2,mRNA,125
PROSER1,mRNA,126
ADAMTS10,mRNA,127
TRAV39,mRNA,128
PLXDC2,mRNA,129
ACRBP,mRNA,130
AL591479.1,mRNA,131
POLR3GL,mRNA,132
L34079.1,mRNA,133
C6,mRNA,134
VAV2,mRNA,135
C12orf50,mRNA,136
LIMS2,mRNA,137
MCL-1,mRNA,138
ETV1,mRNA,139
ENST00000370892,mRNA,140
FAM50B,mRNA,141
SRCAP,mRNA,142
MGAT3,mRNA,143
SCARB1,mRNA,144
RRP12,mRNA,145
DCTN6,mRNA,146
MYB,mRNA,147
SLC28A3,mRNA,148
HSPA12B,mRNA,149
AGMAT,mRNA,150
XAGE1A,mRNA,151
PI16,mRNA,152
ZFP64,mRNA,153
EIF4G2,mRNA,154
LOC285812,mRNA,155
LHX9,mRNA,156
INKA2,mRNA,157
GAGE12J,mRNA,158
CTNND,mRNA,159
STXBP2,mRNA,160
ADCY3,mRNA,161
SFSWAP,mRNA,162
RAB39B,mRNA,163
DIO3,mRNA,164
METTL23,mRNA,165
SCNM1,mRNA,166
GALP,mRNA,167
IRGC,mRNA,168
CCL24,mRNA,169
GNG10,mRNA,170
RALGAPA1,mRNA,171
KRT9,mRNA,172
CWC22,mRNA,173
AC019294.1,mRNA,174
GSTT2,mRNA,175
TACC2,mRNA,176
BOP1,mRNA,177
ENST00000318930,mRNA,178
SBK3,mRNA,179
SIGLEC7,mRNA,180
UBE2E3,mRNA,181
FCAMR,mRNA,182
LRP5L,mRNA,183
MACROH2A2,mRNA,184
LYN,mRNA,185
MCHR2,mRNA,186
ELL,mRNA,187
SLC9A1,mRNA,188
PUSL1,mRNA,189
PTGER3,mRNA,190
MST1R,mRNA,191
HSF1,mRNA,192
ASH2L,mRNA,193
NR1I3,mRNA,194
NPIPB12,mRNA,195
DBC1,mRNA,196
CTSS,mRNA,197
GLYATL1,mRNA,198
ASAP3,mRNA,199
