Drugs ,Cell line,TCGA classification,Tissue,Tissue sub-type,IC50,AUC,Smiles
Paclitaxel,LC-2-ad,LUAD,lung,lung_NSCLC_adenocarcinoma,0.001262,0.256296,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C
,TE-15,ESCA,aero_digestive_tract,oesophagus,0.001272,0.271805,
,PSN1,PAAD,pancreas,pancreas,0.001334,0.242556,
,TE-11,ESCA,aero_digestive_tract,oesophagus,0.00137,0.259042,
,MZ1-PC,PAAD,pancreas,pancreas,0.001675,0.30764,
,SW954,UNCLASSIFIED,urogenital_system,urogenital_system_other,0.001937,0.311506,
,TE-8,ESCA,aero_digestive_tract,oesophagus,0.001953,0.326167,
,697,UNCLASSIFIED,blood,lymphoblastic_leukemia,0.002188,0.317988,
,NTERA-2-cl-D1,UNCLASSIFIED,urogenital_system,testis,0.002298,0.336233,
,ETK-1,UNCLASSIFIED,digestive_system,biliary_tract,0.002327,0.346697,
,HuTu-80,UNCLASSIFIED,digestive_system,digestive_system_other,0.002393,0.331728,
,LXF-289,LUAD,lung,lung_NSCLC_adenocarcinoma,0.002533,0.355323,
,GA-10,UNCLASSIFIED,blood,Burkitt_lymphoma,0.002543,0.353729,
,TE-10,ESCA,aero_digestive_tract,oesophagus,0.0026,0.361541,
,MFH-ino,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.002758,0.377757,
,SU-DHL-6,DLBC,blood,B_cell_lymphoma,0.002861,0.356657,
,VA-ES-BJ,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.002964,0.380429,
,RL95-2,UNCLASSIFIED,urogenital_system,endometrium,0.003009,0.381419,
,OCI-LY-19,DLBC,blood,B_cell_lymphoma,0.003055,0.377443,
,BB30-HNC,HNSC,aero_digestive_tract,head_and_neck,0.003132,0.387343,
,OCUB-M,BRCA,breast,breast,0.003136,0.380228,
,GI-1,LGG,nervous_system,glioma,0.003228,0.387841,
,KALS-1,LGG,nervous_system,glioma,0.003318,0.413337,
,RKO,COREAD,digestive_system,large_intestine,0.003376,0.395522,
,IA-LM,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.003567,0.414158,
,SK-UT-1,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.003727,0.41258,
,NAMALWA,UNCLASSIFIED,blood,Burkitt_lymphoma,0.003797,0.410272,
,IMR-5,NB,nervous_system,neuroblastoma,0.004012,0.421846,
,EW-1,UNCLASSIFIED,bone,ewings_sarcoma,0.00414,0.431016,
,A4-Fuk,DLBC,blood,B_cell_lymphoma,0.004182,0.432645,
,MC116,DLBC,blood,B_cell_lymphoma,0.004244,0.425996,
,no-10,LGG,nervous_system,glioma,0.004338,0.442896,
,BL-41,UNCLASSIFIED,blood,Burkitt_lymphoma,0.004411,0.433507,
,KARPAS-620,MM,blood,haematopoietic_neoplasm_other,0.004464,0.439049,
,ALL-SIL,ALL,blood,T_cell_leukemia,0.004649,0.445445,
,SK-LMS-1,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.00471,0.450359,
,SUP-M2,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,0.004735,0.447729,
,ES4,UNCLASSIFIED,bone,ewings_sarcoma,0.004867,0.459046,
,TE-9,ESCA,aero_digestive_tract,oesophagus,0.00489,0.45839,
,HCE-4,ESCA,aero_digestive_tract,oesophagus,0.005046,0.460574,
,MOLT-4,ALL,blood,lymphoblastic_leukemia,0.005084,0.460427,
,MV-4-11,UNCLASSIFIED,blood,leukemia,0.005088,0.461541,
,NCI-H1648,LUAD,lung,lung_NSCLC_adenocarcinoma,0.005139,0.468023,
,WIL2-NS,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.005174,0.463033,
,H9,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.005456,0.473851,
,8-MG-BA,GBM,nervous_system,glioma,0.005528,0.475822,
,EW-16,UNCLASSIFIED,bone,ewings_sarcoma,0.005575,0.478272,
,JSC-1,DLBC,blood,B_cell_lymphoma,0.005605,0.478894,
,SIG-M5,LAML,blood,acute_myeloid_leukaemia,0.005652,0.477787,
Docetaxel,KS-1,GBM,nervous_system,glioma,0.005672,0.483078,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O
,ES8,UNCLASSIFIED,bone,ewings_sarcoma,0.00067,0.57253,
,Farage,DLBC,blood,B_cell_lymphoma,0.000743,0.588542,
,BB30-HNC,HNSC,aero_digestive_tract,head_and_neck,0.000773,0.590847,
,BB49-HNC,HNSC,aero_digestive_tract,head_and_neck,0.000782,0.579656,
,HSC-39,STAD,digestive_system,stomach,0.000826,0.604323,
,SNU-16,STAD,digestive_system,stomach,0.000826,0.601288,
,NB4,LAML,blood,acute_myeloid_leukaemia,0.000826,0.605147,
,TE-11,ESCA,aero_digestive_tract,oesophagus,0.000827,0.597573,
,OCI-LY-19,DLBC,blood,B_cell_lymphoma,0.000853,0.606543,
,RH-1,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.000859,0.608623,
,SW954,UNCLASSIFIED,urogenital_system,urogenital_system_other,0.000879,0.603904,
,MOG-G-UVW,LGG,nervous_system,glioma,0.00089,0.604671,
,NCI-H524,SCLC,lung,lung_small_cell_carcinoma,0.000912,0.612974,
,PCI-6A,HNSC,aero_digestive_tract,head_and_neck,0.000926,0.608198,
,Hs-578-T,BRCA,breast,breast,0.000935,0.602838,
,PCI-15A,HNSC,aero_digestive_tract,head_and_neck,0.000953,0.616347,
,NB14,NB,nervous_system,neuroblastoma,0.000962,0.620775,
,HO-1-N-1,HNSC,aero_digestive_tract,head_and_neck,0.000965,0.615626,
,JVM-3,CLL,blood,lymphoid_neoplasm_other,0.000975,0.618705,
,NCI-H2122,LUAD,lung,lung_NSCLC_adenocarcinoma,0.000983,0.619868,
,IMR-5,NB,nervous_system,neuroblastoma,0.000992,0.628406,
,HuTu-80,UNCLASSIFIED,digestive_system,digestive_system_other,0.000999,0.623916,
,AMO-1,MM,blood,haematopoietic_neoplasm_other,0.001009,0.629245,
,ES1,UNCLASSIFIED,bone,ewings_sarcoma,0.00104,0.62679,
,NCI-H2171,SCLC,lung,lung_small_cell_carcinoma,0.001052,0.63817,
,697,UNCLASSIFIED,blood,lymphoblastic_leukemia,0.001066,0.639272,
,SUP-M2,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,0.001074,0.643768,
,JHU-011,HNSC,aero_digestive_tract,head_and_neck,0.001094,0.629051,
,KON,HNSC,aero_digestive_tract,head_and_neck,0.001095,0.633471,
,A2058,SKCM,skin,melanoma,0.001155,0.641709,
,HARA,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,0.00117,0.632921,
,H4,LGG,nervous_system,glioma,0.001187,0.642757,
,SU-DHL-16,DLBC,blood,B_cell_lymphoma,0.001192,0.657733,
,SU-DHL-5,DLBC,blood,B_cell_lymphoma,0.001216,0.661904,
,NCI-H460,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.001271,0.646823,
,NCI-H292,UNCLASSIFIED,lung,lung_NSCLC_adenocarcinoma,0.001279,0.640271,
,EW-12,UNCLASSIFIED,bone,ewings_sarcoma,0.001335,0.662909,
,NCI-H446,SCLC,lung,lung_small_cell_carcinoma,0.001347,0.655744,
,BICR22,HNSC,aero_digestive_tract,head_and_neck,0.001352,0.656589,
,WSU-DLCL2,DLBC,blood,B_cell_lymphoma,0.001377,0.673814,
,NCI-H1437,LUAD,lung,lung_NSCLC_adenocarcinoma,0.001417,0.657099,
,MOLM-16,LAML,blood,acute_myeloid_leukaemia,0.001419,0.674397,
,KYSE-220,ESCA,aero_digestive_tract,oesophagus,0.001419,0.654392,
,BL-41,UNCLASSIFIED,blood,Burkitt_lymphoma,0.001422,0.684678,
,BFTC-905,BLCA,urogenital_system,bladder,0.001433,0.663838,
,Hs-683,LGG,nervous_system,glioma,0.001472,0.665854,
