,chembl_id,IC50,unit,Smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
0,CHEMBL3680444,0.042,nM,COc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cn1,10.37675071,428.1596885,7,3,2.9967,TRUE
1,CHEMBL3680508,0.045,nM,NC(=O)c1cccc2c(NCc3ccc(NC(=O)c4cc(C(F)(F)F)n[nH]4)cc3)ncnc12,10.34678749,455.1317574,6,4,3.335,TRUE
2,CHEMBL3680447,0.046,nM,CCN(CC)c1ccc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)cc1,10.33724217,482.2430242,6,3,5.0003,TRUE
3,CHEMBL3680552,0.06,nM,N#Cc1ccnc(Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,10.22184875,395.1494582,7,3,3.35108,TRUE
4,CHEMBL3685243,0.061,nM,Cc1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,10.21467016,411.1695249,5,3,3.90152,TRUE
5,CHEMBL3685277,0.089,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4cc(C5CC5)n[nH]4)c3)ncnc12,10.05060999,427.1756729,6,4,3.1936,TRUE
6,CHEMBL3675525,0.17,nM,NC(=O)c1cccc2c(NCc3cccc(NC(O)c4cc(C(F)(F)F)ccc4F)c3)ncnc12,9.769551079,485.1474877,6,4,4.6017,TRUE
7,CHEMBL3685262,0.18,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(Cl)cc4)c3)ncnc12,9.744727495,431.1149025,5,3,4.2465,TRUE
8,CHEMBL3680596,0.18,nM,N#CCc1ccnc(Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,9.744727495,409.1651082,7,3,3.54548,TRUE
9,CHEMBL3639841,0.2,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc5c(c4)OC(F)(F)O5)c3)ncnc12,9.698970004,477.1248605,7,3,3.9146,TRUE
10,CHEMBL3685245,0.21,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(C(F)(F)F)cc4F)c3)ncnc12,9.677780705,483.1318377,5,3,4.751,TRUE
