circRNA,miRNA
GMA_circ00722,gma-miR164b
GMA_circ00721,gma-miR164b
GMA_circ01034,gma-miR394f
GMA_circ01035,gma-miR394f
GMA_circ01033,gma-miR394f
GMA_circ00737,gma-miR9752
GMA_circ01045,gma-miR9752
GMA_circ01188,gma-miR5780b
GMA_circ01187,gma-miR5780b
GMA_circ01189,gma-miR5780b
GMA_circ01190,gma-miR5780b
GMA_circ01182,gma-miR5780b
GMA_circ01191,gma-miR5780b
GMA_circ01177,gma-miR5780b
GMA_circ01176,gma-miR5780b
GMA_circ01179,gma-miR5780b
GMA_circ01178,gma-miR5780b
GMA_circ00725,gma-miR171c-5p
GMA_circ00806,gma-miR4352b
GMA_circ00805,gma-miR4352b
GMA_circ00091,gma-miR5368
GMA_circ01137,gma-miR5368
GMA_circ01046,gma-miR1511
GMA_circ01008,gma-miR1536
GMA_circ00734,gma-miR1536
GMA_circ00933,gma-miR1536
GMA_circ00761,gma-miR4350
GMA_circ00074,gma-miR862b
GMA_circ00722,gma-miR164c
GMA_circ00721,gma-miR164c
GMA_circ00638,gma-miR1509b
GMA_circ00691,gma-miR5773
GMA_circ00776,gma-miR5773
GMA_circ00938,gma-miR5773
GMA_circ01183,gma-miR5773
GMA_circ01185,gma-miR5773
GMA_circ01180,gma-miR5773
GMA_circ01184,gma-miR5773
GMA_circ01186,gma-miR5773
GMA_circ01181,gma-miR5773
GMA_circ01175,gma-miR5773
GMA_circ01174,gma-miR5773
GMA_circ01173,gma-miR5773
GMA_circ01212,gma-miR5773
GMA_circ01211,gma-miR5773
GMA_circ00950,gma-miR1529
GMA_circ01075,gma-miR5675
GMA_circ01076,gma-miR5675
GMA_circ01073,gma-miR5675
GMA_circ01072,gma-miR5675
GMA_circ01070,gma-miR5675
GMA_circ01071,gma-miR5675
GMA_circ01052,gma-miR4413a
GMA_circ01053,gma-miR4413a
GMA_circ01054,gma-miR4413a
GMA_circ01055,gma-miR4413a
GMA_circ01058,gma-miR4413a
GMA_circ01045,gma-miR4413a
GMA_circ01173,gma-miR4413a
GMA_circ01174,gma-miR4413a
GMA_circ01175,gma-miR4413a
GMA_circ01172,gma-miR4413a
GMA_circ00663,gma-miR4343a
GMA_circ00745,gma-miR4343a
GMA_circ00895,gma-miR6300
GMA_circ00722,gma-miR164d
GMA_circ00721,gma-miR164d
GMA_circ01195,gma-miR1520c
GMA_circ01194,gma-miR1520c
GMA_circ00704,gma-miR1520c
GMA_circ00735,gma-miR5769
GMA_circ00736,gma-miR5769
GMA_circ01034,gma-miR394g
GMA_circ01035,gma-miR394g
GMA_circ01033,gma-miR394g
GMA_circ01008,gma-miR2606a
GMA_circ00734,gma-miR1534
GMA_circ00948,gma-miR1534
GMA_circ00745,gma-miR1534
GMA_circ00654,gma-miR1534
GMA_circ00948,gma-miR5380c
GMA_circ00781,gma-miR1512a-3p
GMA_circ00782,gma-miR1512a-3p
GMA_circ00783,gma-miR1512a-3p
GMA_circ00576,gma-miR396a-5p
GMA_circ00934,gma-miR1525
GMA_circ00955,gma-miR1525
GMA_circ00933,gma-miR1525
GMA_circ01127,gma-miR1525
GMA_circ01128,gma-miR1525
GMA_circ01126,gma-miR1525
GMA_circ00808,gma-miR1525
GMA_circ00459,gma-miR1513c
GMA_circ01179,gma-miR4376a-3p
GMA_circ01178,gma-miR4376a-3p
GMA_circ01176,gma-miR4376a-3p
GMA_circ01177,gma-miR4376a-3p
GMA_circ01171,gma-miR4376a-3p
GMA_circ00808,gma-miR9736
GMA_circ00780,gma-miR1513a-5p
GMA_circ00751,gma-miR5369
GMA_circ01072,gma-miR5369
GMA_circ01073,gma-miR5369
GMA_circ01076,gma-miR5369
GMA_circ01075,gma-miR5369
GMA_circ00642,gma-miR5369
GMA_circ01008,gma-miR4358
GMA_circ00753,gma-miR4387a
GMA_circ00754,gma-miR4387a
GMA_circ00973,gma-miR5041-3p
GMA_circ00722,gma-miR2109-5p
GMA_circ00721,gma-miR2109-5p
GMA_circ01045,gma-miR3522
GMA_circ00948,gma-miR3522
GMA_circ01079,gma-miR3522
GMA_circ00723,gma-miR1510b-3p
GMA_circ01008,gma-miR2606b
GMA_circ00781,gma-miR1514a-5p
GMA_circ00782,gma-miR1514a-5p
GMA_circ00783,gma-miR1514a-5p
GMA_circ01129,gma-miR1514a-5p
GMA_circ00661,gma-miR1514a-5p
GMA_circ00787,gma-miR9722
GMA_circ00972,gma-miR9722
GMA_circ00971,gma-miR9722
GMA_circ00839,gma-miR9722
GMA_circ00949,gma-miR9722
GMA_circ00398,gma-miR9722
GMA_circ01093,gma-miR396b-5p
GMA_circ00721,gma-miR5373
GMA_circ00722,gma-miR5373
GMA_circ00933,gma-miR5374-3p
GMA_circ00805,gma-miR5374-3p
GMA_circ00806,gma-miR5374-3p
GMA_circ00954,gma-miR1523b
GMA_circ01093,gma-miR396k-5p
GMA_circ00641,gma-miR5674b
GMA_circ00691,gma-miR5674b
GMA_circ00938,gma-miR2111e
GMA_circ01052,gma-miR2111e
GMA_circ01053,gma-miR2111e
GMA_circ01054,gma-miR2111e
GMA_circ01055,gma-miR2111e
GMA_circ01058,gma-miR2111e
GMA_circ00393,gma-miR395h
GMA_circ01155,gma-miR395h
GMA_circ01052,gma-miR395h
GMA_circ01053,gma-miR395h
GMA_circ01054,gma-miR395h
GMA_circ01055,gma-miR395h
GMA_circ01058,gma-miR395h
GMA_circ00963,gma-miR1522
GMA_circ00948,gma-miR1522
GMA_circ01179,gma-miR1522
GMA_circ01178,gma-miR1522
GMA_circ01176,gma-miR1522
GMA_circ01177,gma-miR1522
GMA_circ01171,gma-miR1522
GMA_circ00808,gma-miR1522
GMA_circ00686,gma-miR1522
GMA_circ00735,gma-miR1522
GMA_circ00736,gma-miR1522
GMA_circ01162,gma-miR1522
GMA_circ01087,gma-miR1522
GMA_circ01086,gma-miR1522
GMA_circ01085,gma-miR1522
GMA_circ01084,gma-miR1522
GMA_circ00905,gma-miR1522
GMA_circ00904,gma-miR1522
GMA_circ00938,gma-miR2111f
