miRNA,mRNA
ath-miR5633,AT4G00450
ath-miR5633,AT3G11964
ath-miR5633,AT1G79990
ath-miR5633,AT1G79990
ath-miR5633,AT1G79990
ath-miR5633,AT4G10160
ath-miR5633,AT3G18110
ath-miR5633,AT3G55160
ath-miR5633,AT2G18840
ath-miR5633,AT4G16745
ath-miR5633,AT2G01810
ath-miR5646,AT3G44245
ath-miR5646,AT1G77110
ath-miR5648-5p,AT2G17930
ath-miR5648-5p,AT4G36080
ath-miR5648-5p,AT4G36080
ath-miR5648-5p,AT3G61720
ath-miR5024-3p,AT2G33490
ath-miR5024-3p,AT3G51930
ath-miR173-3p,AT4G31560
ath-miR173-3p,AT5G10950
ath-miR173-3p,AT4G38960
ath-miR173-3p,AT4G38960
ath-miR173-3p,AT4G38960
ath-miR3434-5p,AT1G66280
ath-miR3434-5p,AT1G66270
ath-miR3434-5p,AT1G66270
ath-miR3434-5p,AT3G23870
ath-miR3434-5p,AT3G13080
ath-miR3434-5p,AT3G13080
ath-miR3434-5p,AT3G13080
ath-miR3434-5p,AT3G13080
ath-miR3434-5p,AT1G71330
ath-miR3434-5p,AT3G04820
ath-miR3434-5p,AT5G25370
ath-miR3434-5p,AT2G19870
ath-miR3434-5p,AT5G44800
ath-miR3434-5p,AT3G03380
ath-miR3434-5p,AT4G10250
ath-miR3434-5p,AT3G56620
ath-miR3434-5p,AT1G27470
ath-miR3434-5p,AT5G50930
ath-miR156c-5p,AT1G27370
ath-miR156c-5p,AT1G27360
ath-miR156c-5p,AT1G27370
ath-miR156c-5p,AT5G50570
ath-miR156c-5p,AT5G43270
ath-miR156c-5p,AT1G69170
ath-miR156c-5p,AT1G27360
ath-miR156c-5p,AT1G27360
ath-miR156c-5p,AT5G43270
ath-miR156c-5p,AT5G43270
ath-miR156c-5p,AT1G27360
ath-miR156c-5p,AT3G57920
ath-miR156c-5p,AT5G50570
ath-miR156c-5p,AT1G27370
ath-miR156c-5p,AT2G42200
ath-miR156c-5p,AT5G50670
ath-miR156c-5p,AT1G27370
ath-miR156c-5p,AT2G33810
ath-miR156c-5p,AT1G53160
ath-miR156c-5p,AT3G28690
ath-miR156c-5p,AT3G15270
ath-miR156c-5p,AT4G24270
ath-miR156c-5p,AT4G24270
ath-miR156c-5p,AT1G71690
ath-miR156c-5p,AT4G35170
ath-miR156c-5p,AT3G62420
ath-miR156c-5p,AT3G62422
ath-miR156c-5p,AT1G03980
ath-miR156c-5p,AT2G21840
ath-miR156c-5p,AT2G46850
ath-miR156c-5p,AT1G25500
ath-miR156c-5p,AT1G71400
ath-miR156c-5p,AT3G47170
ath-miR156c-5p,AT1G22000
ath-miR156c-5p,AT1G26890
ath-miR156c-5p,AT2G37860
ath-miR156c-5p,AT5G25560
ath-miR156c-5p,AT2G37860
ath-miR156c-5p,AT5G25560
ath-miR156c-5p,AT5G25560
ath-miR156c-5p,AT1G03730
ath-miR156c-5p,AT5G38610
ath-miR156c-5p,AT1G16916
ath-miR156c-5p,AT2G17640
ath-miR156c-5p,AT4G10595
ath-miR396b-5p,AT5G01370
ath-miR396b-5p,AT5G43060
ath-miR396b-5p,AT2G45480
ath-miR396b-5p,AT2G34530
ath-miR396b-5p,AT2G34530
ath-miR396b-5p,AT5G57590
ath-miR396b-5p,AT5G24660
ath-miR396b-5p,AT1G60140
ath-miR396b-5p,AT3G53160
ath-miR396b-5p,AT1G05030
ath-miR396b-5p,AT3G19400
ath-miR396b-5p,AT3G19400
ath-miR396b-5p,AT4G12240
ath-miR396b-5p,AT4G33620
ath-miR396b-5p,AT5G66660
ath-miR396b-5p,AT5G53660
ath-miR396b-5p,AT3G52910
ath-miR396b-5p,AT4G24150
ath-miR396b-5p,AT2G36400
ath-miR396b-5p,AT2G22840
ath-miR396b-5p,AT4G37740
ath-miR396b-5p,AT2G44770
ath-miR396b-5p,AT1G79740
ath-miR396b-5p,AT1G10120
ath-miR396b-5p,AT5G20540
ath-miR396b-5p,AT5G40010
ath-miR396b-5p,AT3G01790
ath-miR396b-5p,AT3G01790
ath-miR396b-5p,AT1G23600
ath-miR396b-5p,AT1G23600
ath-miR396b-5p,AT3G13670
ath-miR396b-5p,AT1G01520
ath-miR396b-5p,AT2G42560
ath-miR396b-5p,AT1G65810
ath-miR396b-5p,AT1G65810
ath-miR396b-5p,AT3G03790
ath-miR396b-5p,AT3G03790
ath-miR396b-5p,AT3G03790
ath-miR837-5p,AT1G67230
ath-miR837-5p,AT1G68790
ath-miR837-5p,AT1G16800
ath-miR837-5p,AT1G01160
ath-miR837-5p,AT4G00850
ath-miR837-5p,AT1G01160
ath-miR837-5p,AT3G61840
ath-miR837-5p,AT1G52590
ath-miR837-5p,AT1G23020
ath-miR837-5p,AT1G23020
ath-miR837-5p,AT3G27640
ath-miR837-5p,AT5G18590
ath-miR837-5p,AT5G18590
ath-miR837-5p,AT1G68845
ath-miR837-5p,AT1G52500
ath-miR837-5p,AT1G52500
ath-miR837-5p,AT3G13910
ath-miR837-5p,AT4G31150
ath-miR837-5p,AT4G31150
ath-miR837-5p,AT5G48600
ath-miR837-5p,AT5G48600
ath-miR837-5p,AT1G79400
ath-miR837-5p,AT4G04730
ath-miR837-5p,AT2G13500
ath-miR169c,AT5G42120
ath-miR169c,AT5G12840
ath-miR169c,AT5G12840
ath-miR169c,AT5G12840
ath-miR169c,AT5G12840
ath-miR169c,AT1G17590
ath-miR169c,AT1G17590
ath-miR169c,AT1G54160
ath-miR169c,AT1G17590
ath-miR169c,AT1G17590
ath-miR169c,AT3G20910
ath-miR169c,AT5G06510
ath-miR169c,AT5G06510
ath-miR169c,AT3G05690
ath-miR169c,AT5G06510
ath-miR169c,AT1G72830
ath-miR169c,AT1G72830
ath-miR169c,AT1G72830
ath-miR1886.2,AT2G38770
ath-miR1886.2,AT4G08940
ath-miR1886.2,AT3G10800
ath-miR1886.2,AT5G06390
ath-miR1886.2,AT2G30690
ath-miR1886.2,AT1G34010
ath-miR1886.2,AT2G28880
ath-miR1886.2,AT3G11700
ath-miR1886.2,AT2G35860
ath-miR1886.2,AT2G34610
ath-miR5645d,AT2G21090
ath-miR5645d,AT1G54590
ath-miR5645d,AT5G20940
ath-miR5645d,AT3G20860
ath-miR5645d,AT4G09570
ath-miR5645d,AT1G06750
ath-miR5645d,AT1G06750
ath-miR5645d,AT2G33990
ath-miR5645d,AT5G45105
ath-miR5645d,AT5G45105
ath-miR394b-5p,AT1G27340
ath-miR394b-5p,AT5G09672
ath-miR394b-5p,AT5G09670
ath-miR394b-5p,AT5G09670
ath-miR394b-5p,AT4G14850
ath-miR394b-5p,AT5G64550
ath-miR394b-5p,AT5G64552
ath-miR394b-5p,AT4G20430
ath-miR394b-5p,AT4G20430
ath-miR394b-5p,AT5G67130
ath-miR394b-5p,AT1G40104
