"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significance","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","Significance","Label","Source"
"ABHD11","ABHD11",2.52835964067209e-08,-0.293412420856324,0.015,0.028,0.000460742977319675,"Downregulated","ENSG00000106077",-1.41768559913541,6.96125007351812,504.427365453617,1.03436384924711e-111,2.27358837728244e-110,"Significant","Down in WA (Up in Control)","Common_DEGs"
"ABHD3","ABHD3",1.88617915010952e-21,-0.648253970350063,0.045,0.083,3.43718426524457e-17,"Downregulated","ENSG00000158201",2.17048190037412,6.54906607247389,1232.33970098608,5.71553850311341e-270,4.81699901081456e-268,"Significant","Up in WA (Down in Control)","Common_DEGs"
"ABI3","ABI3",9.44136969263729e-40,-0.543933412327066,0.132,0.212,1.72050079908929e-35,"Downregulated","ENSG00000108798",3.67155612931005,-2.18098803542594,10.2675573314602,0.0013538993699855,0.00321248373610886,"Significant","Up in WA (Down in Control)","Common_DEGs"
"AC016831.5","AC016831.5",4.2752005914935e-24,0.716163843778927,0.347,0.285,7.7906980378786e-20,"Upregulated","ENSG00000229858",3.81993186361806,-3.04747329737537,5.13397558867093,0.0234619289821704,0.0451608827329361,"Significant","Up in WA (Down in Control)","Common_DEGs"
"AC058791.1","AC058791.1",9.4299580153099e-50,1.42331317342176,0.305,0.214,1.71842124912992e-45,"Upregulated","ENSG00000226380",4.04997616375899,1.86248710280635,243.892191916298,5.57264991426189e-55,5.53797968189629e-54,"Significant","Up in WA (Down in Control)","Common_DEGs"
"ACADM","ACADM",5.02546030974476e-19,-0.423027789168196,0.062,0.102,9.15789632244788e-15,"Downregulated","ENSG00000117054",-1.12594591498418,5.70273289104017,257.123209115478,7.27111546782198e-58,7.5866779004029e-57,"Significant","Down in WA (Up in Control)","Common_DEGs"
"ACADS","ACADS",1.5576816880123e-06,-0.708170578172508,0.019,0.031,0.0283856334006481,"Downregulated","ENSG00000122971",-1.49479255383325,5.05661393120147,379.806664955983,1.37105017683328e-84,2.12655667742789e-83,"Significant","Down in WA (Up in Control)","Common_DEGs"
"ACAP2","ACAP2",1.3108164563026e-16,-0.751304398182257,0.046,0.078,2.38870082832024e-12,"Downregulated","ENSG00000114331",1.16564921916669,6.5584060086021,328.347424384888,2.20152301886163e-73,2.92408645112971e-72,"Significant","Up in WA (Down in Control)","Common_DEGs"
"ACCS","ACCS",2.1100628090919e-06,-0.753029533541809,0.006,0.013,0.0384516745700818,"Downregulated","ENSG00000110455",-3.31004881192269,3.46834828514241,588.857129535244,4.44119337884912e-130,1.19908290969299e-128,"Significant","Down in WA (Up in Control)","Common_DEGs"
"ACER3","ACER3",1.52827851531439e-06,-0.286017113800872,0.026,0.04,0.0278498193845741,"Downregulated","ENSG00000078124",-1.03916761517191,4.60086147679288,156.542529103987,6.44338795638205e-36,4.56634897006411e-35,"Significant","Down in WA (Up in Control)","Common_DEGs"
"ACTB","ACTB",6.91329841182299e-65,-0.354560286358864,0.944,0.984,1.2598103695865e-60,"Downregulated","ENSG00000075624",1.13874292121183,12.4994679886605,458.026960288486,1.29199480500875e-101,2.50428649974663e-100,"Significant","Up in WA (Down in Control)","Common_DEGs"
"ACTG1","ACTG1",2.34187506376686e-67,-0.319662273311061,0.643,0.82,4.26759892870235e-63,"Downregulated","ENSG00000184009",1.06746797617248,11.8409361168377,462.971270855451,1.08466565114549e-102,2.1418811877539e-101,"Significant","Up in WA (Down in Control)","Common_DEGs"
"AGO3","AGO3",3.37512014242027e-19,-0.614279577638073,0.045,0.08,6.15048143553246e-15,"Downregulated","ENSG00000126070",1.55373740281555,3.66758951244942,203.852829657243,3.01368081692877e-46,2.60244517530937e-45,"Significant","Up in WA (Down in Control)","Common_DEGs"
"AIMP2","AIMP2",2.88139096024754e-07,-0.344854519343119,0.012,0.023,0.00525075874685909,"Downregulated","ENSG00000106305",-1.05689183209559,5.59505438101024,225.129900257897,6.87826110703922e-51,6.40759902640181e-50,"Significant","Down in WA (Up in Control)","Common_DEGs"
"AKAP5","AKAP5",2.9558564459396e-08,-1.11361907214899,0.011,0.023,0.000538645720143574,"Downregulated","ENSG00000179841",-1.48375077191223,-0.3797053577635,9.38245328563534,0.00219072178641673,0.00505687606732149,"Significant","Down in WA (Up in Control)","Common_DEGs"
"AL627171.1","AL627171.1",3.88964707315153e-14,-0.651097955047212,0.042,0.07,7.08810386140403e-10,"Downregulated","ENSG00000197502",-3.85781454335857,-3.04744793191513,5.49276640847709,0.0190953054722779,0.0376854049197054,"Significant","Down in WA (Up in Control)","Common_DEGs"
"AMN1","AMN1",1.70229313829187e-09,-0.754902414118066,0.013,0.027,3.10208878590928e-05,"Downregulated","ENSG00000151743",3.15823021106237,3.93260273560349,720.569867189063,1.00633553220768e-158,3.60355525259672e-157,"Significant","Up in WA (Down in Control)","Common_DEGs"
"ANGPT2","ANGPT2",2.07360763774391e-07,-1.30532110712844,0.007,0.016,0.00377873519826073,"Downregulated","ENSG00000091879",-2.48537995102999,-1.64219754354444,9.29246811384026,0.00230097938551646,0.00529748507204064,"Significant","Down in WA (Up in Control)","Common_DEGs"
"ANKAR","ANKAR",3.05026429079333e-11,-1.44595722780554,0.006,0.017,5.55849661711269e-07,"Downregulated","ENSG00000151687",1.57187794122899,1.90850228301603,64.637341902146,9.0032826256509e-16,3.91395197529187e-15,"Significant","Up in WA (Down in Control)","Common_DEGs"
"ANKMY2","ANKMY2",4.45637532926697e-11,-1.15152599877879,0.009,0.022,8.12085276252319e-07,"Downregulated","ENSG00000106524",2.46707138639563,5.33563854405684,1040.93393299385,2.27447253520992e-228,1.39341129672127e-226,"Significant","Up in WA (Down in Control)","Common_DEGs"
"ANKRD13D","ANKRD13D",1.82424228909526e-06,-0.309110174019772,0.038,0.055,0.0332431672341829,"Downregulated","ENSG00000172932",-1.27339453191198,6.03850608645837,389.141495017261,1.27284451503562e-86,2.04600702366816e-85,"Significant","Down in WA (Up in Control)","Common_DEGs"
"ANXA1","ANXA1",1.01611255784747e-292,1.35727695914505,0.72,0.49,1.85166191416545e-288,"Upregulated","ENSG00000135046",2.91750089495707,2.60836327976053,310.434411230799,1.75627023090876e-69,2.18345755806012e-68,"Significant","Up in WA (Down in Control)","Common_DEGs"
"ANXA11","ANXA11",1.50229417992073e-14,-0.349229511077207,0.164,0.211,2.73763068406955e-10,"Downregulated","ENSG00000122359",-1.25609333190336,6.09763471251893,399.621706136956,6.65709212283827e-89,1.09606704574027e-87,"Significant","Down in WA (Up in Control)","Common_DEGs"
"AP5Z1","AP5Z1",1.9609176321221e-07,-0.645308606499591,0.024,0.039,0.0035733802010161,"Downregulated","ENSG00000242802",2.87080891997794,7.67473264552775,2540.78033575707,0,0,"Significant","Up in WA (Down in Control)","Common_DEGs"
"APEH","APEH",1.05184761586909e-07,-0.510994201411806,0.038,0.056,0.00191678191039825,"Downregulated","ENSG00000164062",-2.58193848899383,7.20077170540642,1733.32864772962,0,0,"Significant","Down in WA (Up in Control)","Common_DEGs"
"APIP","APIP",2.60549350965045e-08,-0.260650151129602,0.038,0.058,0.000474799082263602,"Downregulated","ENSG00000149089",-2.06062582413531,4.87353217548095,500.988936047763,5.79159511839566e-111,1.26301483536192e-109,"Significant","Down in WA (Up in Control)","Common_DEGs"
"AREG","AREG",1.00606602158716e-17,0.252204527132624,0.291,0.232,1.83335411113829e-13,"Upregulated","ENSG00000109321",6.49130132922204,-1.61170738685378,27.8251462920789,1.32788939066671e-07,4.21041128869786e-07,"Significant","Up in WA (Down in Control)","Common_DEGs"
"ARHGAP24","ARHGAP24",2.95688837089266e-23,-1.02346430494077,0.021,0.05,5.3883376782777e-19,"Downregulated","ENSG00000138639",-2.22137898986279,1.02340559662375,69.0056001305203,9.81842454972777e-17,4.39094568436887e-16,"Significant","Down in WA (Up in Control)","Common_DEGs"
"ARHGAP30","ARHGAP30",5.51966293456367e-24,-0.379511657161208,0.089,0.142,1.00584817656554e-19,"Downregulated","ENSG00000186517",1.66506531529322,4.43052412090015,293.349824980269,9.26134281601414e-66,1.09094327403002e-64,"Significant","Up in WA (Down in Control)","Common_DEGs"
