"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significance"
"PLCG2",0,-4.6014707791929,0.014,0.213,0,"PLCG2","Downregulated"
"FTH1",0,0.823072957551896,0.949,0.95,0,"FTH1","Upregulated"
"RGS1",2.55650519567971e-303,0.744916971414867,0.774,0.467,4.65871941808714e-299,"RGS1","Upregulated"
"H3F3B",9.94600982135593e-294,0.669775826475203,0.956,0.903,1.81246136974569e-289,"H3F3B","Upregulated"
"ANXA1",1.01611255784747e-292,1.35727695914505,0.72,0.49,1.85166191416545e-288,"ANXA1","Upregulated"
"SRGN",1.43638536891046e-259,0.667791846186728,0.887,0.814,2.61752505776553e-255,"SRGN","Upregulated"
"MTRNR2L12",3.13316130963628e-256,-1.78700364483503,0.204,0.453,5.70955985455019e-252,"MTRNR2L12","Downregulated"
"GNLY",1.25862425401888e-229,-1.33731563688477,0.239,0.474,2.29359097809861e-225,"GNLY","Downregulated"
"MT-CO1",6.25786870300569e-213,0.500919115154304,0.95,0.884,1.14037141374873e-208,"MT-CO1","Upregulated"
"KLRC2",9.73137875807445e-204,-2.16168241255533,0.043,0.194,1.77334915108391e-199,"KLRC2","Downregulated"
"RPL37",2.53275540893352e-202,-0.570016337503778,0.739,0.941,4.61544018169955e-198,"RPL37","Downregulated"
"RPL17",5.24128041763469e-198,-1.11663179848256,0.283,0.499,9.55118530505569e-194,"RPL17","Downregulated"
"MT-CO2",3.45947513463513e-194,0.530246015963311,0.929,0.867,6.30420153784561e-190,"MT-CO2","Upregulated"
"KLF6",8.05905404937365e-191,1.1380514438887,0.702,0.534,1.46860141941736e-186,"KLF6","Upregulated"
"RPS29",1.85596487700395e-183,-0.399690744346919,0.8,0.976,3.38212479536429e-179,"RPS29","Downregulated"
"RPS28",2.3178808792862e-181,-0.393511397257861,0.876,0.983,4.22387432632324e-177,"RPS28","Downregulated"
"RMRP",3.9704713949359e-180,-6.37186314074656,0.001,0.085,7.2353900229917e-176,"RMRP","Downregulated"
"EIF1",9.94664560389859e-180,0.42526215045963,0.951,0.961,1.81257722839844e-175,"EIF1","Upregulated"
"RPL37A",1.72369147416077e-178,-0.511634270462304,0.748,0.945,3.14108297336317e-174,"RPL37A","Downregulated"
"TSC22D3",7.87716058222991e-177,0.527174977603677,0.848,0.638,1.43545497289976e-172,"TSC22D3","Upregulated"
"MT-CO3",3.54057716640312e-176,0.503447275285683,0.893,0.843,6.45199377033641e-172,"MT-CO3","Upregulated"
"SAT1",2.29153582593208e-174,1.17518004357322,0.787,0.641,4.17586573559603e-170,"SAT1","Upregulated"
"MTRNR2L8",6.37329009015975e-174,-1.3310109705738,0.23,0.438,1.16140465312981e-169,"MTRNR2L8","Downregulated"
"CD160",2.58558629563675e-170,-2.4111932071105,0.038,0.167,4.71171390653885e-166,"CD160","Downregulated"
"TXNIP",6.83579476109033e-166,-0.675741305355106,0.418,0.654,1.24568687931349e-161,"TXNIP","Downregulated"
"CREM",9.87932208291492e-163,0.992883662961358,0.601,0.42,1.80030886316959e-158,"CREM","Upregulated"
"CTSW",1.3279371009575e-155,-0.969879437512238,0.314,0.51,2.41989977907486e-151,"CTSW","Downregulated"
"MTRNR2L1",1.06948641888986e-154,-1.77508460326669,0.177,0.343,1.948925101143e-150,"MTRNR2L1","Downregulated"
"RPS17",5.58036758477821e-152,-0.665767673375888,0.502,0.713,1.01691038497413e-147,"RPS17","Downregulated"
"RPS21",1.47749224419543e-150,-0.563319724098369,0.669,0.866,2.69243411659734e-146,"RPS21","Downregulated"
"HSPA1B",1.11105926920625e-145,-1.52089897084915,0.293,0.478,2.02468330627456e-141,"HSPA1B","Downregulated"
"MT2A",1.23549024065793e-140,0.996660773906783,0.572,0.398,2.25143386555094e-136,"MT2A","Upregulated"
"RPL36",2.86787601108953e-134,-0.37182898673621,0.798,0.956,5.22613045500845e-130,"RPL36","Downregulated"
"KIR2DL3",7.17655041207417e-133,-3.48035419816238,0.008,0.084,1.30778278159228e-128,"KIR2DL3","Downregulated"
"RPL38",1.88803010512541e-130,-0.457426600246105,0.686,0.896,3.44055726057004e-126,"RPL38","Downregulated"
"RPLP2",1.54511408732901e-129,-0.344838691655514,0.893,0.99,2.81566140133966e-125,"RPLP2","Downregulated"
"CXCL8",2.70193550593075e-127,1.52124892295453,0.259,0.1,4.92373707245761e-123,"CXCL8","Upregulated"
"HOPX",3.2121631693656e-121,-1.01172790565107,0.217,0.382,5.85352494353493e-117,"HOPX","Downregulated"
"GPR183",6.03053246914909e-119,1.24046457304823,0.477,0.314,1.09894393185304e-114,"GPR183","Upregulated"
"CXCR4",8.63870446419861e-116,0.305760375371687,0.819,0.652,1.57423111451091e-111,"CXCR4","Upregulated"
"TRG-AS1",2.72043908897684e-114,-1.88695095095497,0.058,0.169,4.9574561518425e-110,"TRG-AS1","Downregulated"
"EEF1A1",2.82711789779411e-114,-0.285863327447238,0.894,0.994,5.1518569451502e-110,"EEF1A1","Downregulated"
"TNFAIP3",5.19942198766375e-114,0.879558943555959,0.534,0.366,9.47490668811966e-110,"TNFAIP3","Upregulated"
"ZFP36",1.37986504754066e-111,0.577762474126808,0.714,0.609,2.51452807613334e-107,"ZFP36","Upregulated"
"MTRNR2L10",6.24500496275899e-105,-1.17766595328791,0.127,0.263,1.13802725436357e-100,"MTRNR2L10","Downregulated"
"KLRD1",8.17514753666381e-95,-0.63139676052376,0.219,0.38,1.48975713560625e-90,"KLRD1","Downregulated"
"RPS26",1.94070216885913e-93,-0.479631202227827,0.697,0.879,3.536541562312e-89,"RPS26","Downregulated"
"TOMM7",2.20596895236033e-92,-0.421792756379327,0.543,0.718,4.01993722188623e-88,"TOMM7","Downregulated"
"AC067930.1",2.25875716352841e-92,-4.0376562456942,0.002,0.048,4.11613317909782e-88,"AC067930.1","Downregulated"
"RPL39",3.14936807832051e-92,-0.334624207171006,0.89,0.977,5.73909344912347e-88,"RPL39","Downregulated"
"CCL5",1.4581379485082e-91,-0.88433387615923,0.635,0.677,2.65716478356649e-87,"CCL5","Downregulated"
"HNRNPH1",1.26547345055598e-90,2.0658857936082,0.421,0.307,2.30607226894816e-86,"HNRNPH1","Upregulated"
"YPEL5",2.74948264200445e-88,0.715239788932528,0.614,0.502,5.0103822185247e-84,"YPEL5","Upregulated"
"PIK3R3",5.00785568319823e-87,-2.10617657001645,0.025,0.097,9.12581541149214e-83,"PIK3R3","Downregulated"
"RPS10",3.40739191232269e-86,-0.4308057960126,0.591,0.779,6.20929028182563e-82,"RPS10","Downregulated"
"TRBV6-2",3.79266690268574e-84,-5.18965990588187,0.002,0.045,6.91137689676422e-80,"TRBV6-2","Downregulated"
"HCST",3.79594457448992e-84,-0.530593593372189,0.494,0.65,6.91734979809298e-80,"HCST","Downregulated"
"B4GALT1",6.06128809417442e-83,2.76843117271768,0.202,0.092,1.10454852940141e-78,"B4GALT1","Upregulated"
"CYBA",2.00426953166178e-81,-0.387983412106504,0.617,0.79,3.65238036754727e-77,"CYBA","Downregulated"
"MT-CYB",1.26215005483651e-80,0.356503470474493,0.849,0.848,2.30001604492856e-76,"MT-CYB","Upregulated"
"CD69",2.53164720432288e-78,0.599473048305383,0.665,0.534,4.61342070043759e-74,"CD69","Upregulated"
"NOP53",7.12671031637798e-77,-1.18312252603518,0.152,0.264,1.29870042095356e-72,"NOP53","Downregulated"
"SBF2",2.00351901407575e-76,-1.81947683720153,0.049,0.131,3.65101269935023e-72,"SBF2","Downregulated"
"RPL22",3.22057829124213e-76,-0.327626277092614,0.668,0.856,5.86885982013054e-72,"RPL22","Downregulated"
"NKG7",1.95709673236139e-75,-0.887862140575166,0.335,0.479,3.56641737538216e-71,"NKG7","Downregulated"
"CD7",1.24546638299279e-73,-0.569343265704672,0.433,0.574,2.26961338972776e-69,"CD7","Downregulated"
"N4BP2L2",1.27725453782624e-71,-0.495800562928586,0.302,0.441,2.32754094428075e-67,"N4BP2L2","Downregulated"
"ZNF683",5.40496841105481e-71,-1.12049036422523,0.121,0.225,9.84947393546519e-67,"ZNF683","Downregulated"
"MYL12A",2.00243634267787e-70,-0.347393842198514,0.631,0.792,3.64903974726188e-66,"MYL12A","Downregulated"
"G0S2",2.81848003094227e-70,2.05573058864702,0.143,0.052,5.1361161603861e-66,"G0S2","Upregulated"
"SAMSN1",3.28958912831881e-70,0.813962757634703,0.518,0.406,5.99461826853537e-66,"SAMSN1","Upregulated"
"LMNA",9.11123098772398e-70,1.09193814878022,0.341,0.219,1.66033962289294e-65,"LMNA","Upregulated"
"RPL30",2.48597488337954e-69,-0.279409075161152,0.829,0.97,4.53019202998254e-65,"RPL30","Downregulated"
"RPL36A",1.43262650342238e-68,-0.3166054877451,0.493,0.67,2.61067527718659e-64,"RPL36A","Downregulated"
