Transcript	mimic	Score	P value	miRNA(s)
AT1G01060.1	AT1G02630.1	0.7024	0.00177935943060498	ath-miR_novel_1103
AT1G01060.1	AT1G02630.2	0.7024	0.00177935943060498	ath-miR_novel_1103
AT1G01060.1	AT1G04700.1	0.75	0.00177935943060498	ath-miR_novel_1103
AT1G01060.1	AT1G20640.1	0.6786	0.00177935943060498	ath-miR_novel_1103
AT1G01060.1	AT1G20640.2	0.6786	0.00177935943060498	ath-miR_novel_1103
AT1G01060.1	AT1G20693.1	0.7119	0.00177935943060498	ath-miR_novel_1103
AT1G01060.1	AT1G20693.2	0.7119	0.00177935943060498	ath-miR_novel_1103
AT1G01060.1	AT1G20693.3	0.7119	0.00177935943060498	ath-miR_novel_1103
AT1G01060.1	AT1G68820.1	0.6143	0.00177935943060498	ath-miR_novel_1103
AT1G01060.1	AT2G06200.1	0.7071	0.00355871886120997	ath-miR_novel_1103
AT1G01060.1	AT3G06760.2	0.681	0.00177935943060498	ath-miR_novel_1103
AT1G01060.1	AT3G22290.1	0.7643	0.00177935943060498	ath-miR_novel_1103
AT1G01060.1	AT4G01915.1	0.8548	0.00177935943060498	ath-miR_novel_1103
AT1G01060.1	AT4G01915.2	0.8548	0.00177935943060498	ath-miR_novel_1103
AT1G01060.1	AT4G01915.3	0.8548	0.00177935943060498	ath-miR_novel_1103
AT1G01060.1	AT4G01935.1	0.7905	0.00177935943060498	ath-miR_novel_1103
AT1G01060.1	AT4G16442.1	0.6048	0.00355871886120997	ath-miR_novel_1103
AT1G01060.1	AT4G20330.1	0.781	0.00355871886120997	ath-miR_novel_1103
AT1G01060.1	AT4G24480.1	0.7214	0.00177935943060498	ath-miR_novel_1103
AT1G01060.1	AT4G25760.1	0.6524	0.00177935943060498	ath-miR_novel_1103
AT1G01060.1	AT4G33350.2	0.6976	0.00177935943060498	ath-miR_novel_1103
AT1G01060.1	AT5G60970.1	0.7048	0.00355871886120997	ath-miR_novel_1103
AT1G01060.2	AT1G02630.1	0.7024	0.00177935943060498	ath-miR_novel_1103
AT1G01060.2	AT1G02630.2	0.7024	0.00177935943060498	ath-miR_novel_1103
AT1G01060.2	AT1G04700.1	0.75	0.00177935943060498	ath-miR_novel_1103
AT1G01060.2	AT1G20640.1	0.6786	0.00177935943060498	ath-miR_novel_1103
AT1G01060.2	AT1G20640.2	0.6786	0.00177935943060498	ath-miR_novel_1103
AT1G01060.2	AT1G20693.1	0.7119	0.00177935943060498	ath-miR_novel_1103
AT1G01060.2	AT1G20693.2	0.7119	0.00177935943060498	ath-miR_novel_1103
AT1G01060.2	AT1G20693.3	0.7119	0.00177935943060498	ath-miR_novel_1103
AT1G01060.2	AT1G68820.1	0.6143	0.00177935943060498	ath-miR_novel_1103
